iter 138: loss 2.3263, time 3098.56ms, mfu 0.04%
iter 139: loss 2.3676, time 3113.50ms, mfu 0.04%
iter 140: loss 2.3796, time 3064.44ms, mfu 0.04%
iter 141: loss 2.3364, time 3065.93ms, mfu 0.04%
iter 142: loss 2.3548, time 3081.75ms, mfu 0.04%
iter 143: loss 2.3573, time 3104.00ms, mfu 0.04%
iter 144: loss 2.3654, time 3065.51ms, mfu 0.04%
iter 145: loss 2.2991, time 3111.39ms, mfu 0.04%
iter 146: loss 2.3993, time 3077.29ms, mfu 0.04%
iter 147: loss 2.3535, time 3064.89ms, mfu 0.04%
iter 148: loss 2.3200, time 3126.77ms, mfu 0.04%
iter 149: loss 2.3350, time 3061.57ms, mfu 0.04%
iter 150: loss 2.3728, time 3109.06ms, mfu 0.04%
iter 151: loss 2.3448, time 3060.03ms, mfu 0.04%
iter 152: loss 2.3696, time 3116.38ms, mfu 0.04%
iter 153: loss 2.3268, time 3051.51ms, mfu 0.04%
iter 154: loss 2.3151, time 3117.40ms, mfu 0.04%
iter 155: loss 2.3205, time 3116.52ms, mfu 0.04%
iter 156: loss 2.3398, time 3120.62ms, mfu 0.04%
iter 157: loss 2.3717, time 3147.70ms, mfu 0.04%
iter 158: loss 2.3592, time 3093.84ms, mfu 0.04%
iter 159: loss 2.3420, time 3065.82ms, mfu 0.04%
iter 160: loss 2.3140, time 3112.02ms, mfu 0.04%
iter 161: loss 2.3219, time 3093.86ms, mfu 0.04%
iter 162: loss 2.2868, time 3044.15ms, mfu 0.04%
iter 163: loss 2.2858, time 3082.77ms, mfu 0.04%
iter 164: loss 2.2894, time 3081.98ms, mfu 0.04%
iter 165: loss 2.3307, time 3113.25ms, mfu 0.04%
iter 166: loss 2.3247, time 3076.77ms, mfu 0.04%
iter 167: loss 2.2637, time 3080.39ms, mfu 0.04%
iter 168: loss 2.3266, time 3098.59ms, mfu 0.04%
iter 169: loss 2.2364, time 3086.07ms, mfu 0.04%
iter 170: loss 2.2619, time 3058.49ms, mfu 0.04%
iter 171: loss 2.2875, time 3101.71ms, mfu 0.04%
iter 172: loss 2.3082, time 3119.82ms, mfu 0.04%
iter 173: loss 2.2994, time 3122.56ms, mfu 0.04%
iter 174: loss 2.2672, time 3203.11ms, mfu 0.04%
iter 175: loss 2.2518, time 3088.89ms, mfu 0.04%
iter 176: loss 2.2720, time 3088.48ms, mfu 0.04%
iter 177: loss 2.2299, time 3069.95ms, mfu 0.04%
iter 178: loss 2.2267, time 3086.85ms, mfu 0.04%
iter 179: loss 2.2355, time 3106.54ms, mfu 0.04%
iter 180: loss 2.2527, time 3085.13ms, mfu 0.04%
iter 181: loss 2.1744, time 3086.42ms, mfu 0.04%
iter 182: loss 2.2274, time 3097.84ms, mfu 0.04%
iter 183: loss 2.1807, time 3089.14ms, mfu 0.04%
iter 184: loss 2.2187, time 3166.41ms, mfu 0.04%
iter 185: loss 2.1421, time 3217.85ms, mfu 0.04%
iter 186: loss 2.1510, time 3135.90ms, mfu 0.04%
iter 187: loss 2.2312, time 3113.36ms, mfu 0.04%
iter 188: loss 2.1498, time 3180.13ms, mfu 0.04%
iter 189: loss 2.1689, time 3140.76ms, mfu 0.04%
iter 190: loss 2.1798, time 3125.73ms, mfu 0.04%
iter 191: loss 2.1450, time 3116.87ms, mfu 0.04%
iter 192: loss 2.2243, time 3167.84ms, mfu 0.04%
iter 193: loss 2.1752, time 3104.20ms, mfu 0.04%
iter 194: loss 2.1382, time 3127.47ms, mfu 0.04%
iter 195: loss 2.1511, time 3141.33ms, mfu 0.04%
iter 196: loss 2.1359, time 3111.62ms, mfu 0.04%
iter 197: loss 2.1855, time 3129.26ms, mfu 0.04%
iter 198: loss 2.1113, time 3142.94ms, mfu 0.04%
iter 199: loss 2.1811, time 3143.26ms, mfu 0.04%
iter 200: loss 2.1360, time 3171.12ms, mfu 0.04%
iter 201: loss 2.0982, time 3154.97ms, mfu 0.04%
iter 202: loss 2.0746, time 3122.90ms, mfu 0.04%
iter 203: loss 2.1451, time 3107.58ms, mfu 0.04%
iter 204: loss 2.1454, time 3102.26ms, mfu 0.04%
iter 205: loss 2.1043, time 3140.62ms, mfu 0.04%
iter 206: loss 2.0656, time 3117.34ms, mfu 0.04%
iter 207: loss 2.1083, time 3137.66ms, mfu 0.04%
iter 208: loss 2.1299, time 3122.03ms, mfu 0.04%
iter 209: loss 2.1480, time 3123.43ms, mfu 0.04%
iter 210: loss 2.0846, time 3137.81ms, mfu 0.04%
iter 211: loss 2.1337, time 3147.52ms, mfu 0.04%
iter 212: loss 2.1107, time 3092.19ms, mfu 0.04%
iter 213: loss 2.0350, time 3127.82ms, mfu 0.04%
iter 214: loss 2.1149, time 3116.06ms, mfu 0.04%
iter 215: loss 2.1070, time 3135.44ms, mfu 0.04%
iter 216: loss 2.0931, time 3113.64ms, mfu 0.04%
iter 217: loss 2.0754, time 3125.22ms, mfu 0.04%
iter 218: loss 2.1107, time 3123.69ms, mfu 0.04%
iter 219: loss 2.0914, time 3103.07ms, mfu 0.04%
iter 220: loss 2.0354, time 3116.63ms, mfu 0.04%
iter 221: loss 2.0788, time 3106.14ms, mfu 0.04%
iter 222: loss 2.0740, time 3144.65ms, mfu 0.04%
iter 223: loss 2.0338, time 3106.46ms, mfu 0.04%
iter 224: loss 2.0685, time 3170.37ms, mfu 0.04%
iter 225: loss 2.0819, time 3125.14ms, mfu 0.04%
iter 226: loss 2.1260, time 3139.00ms, mfu 0.04%
iter 227: loss 2.0802, time 3105.71ms, mfu 0.04%
iter 228: loss 2.0561, time 3172.53ms, mfu 0.04%
iter 229: loss 2.0999, time 3110.29ms, mfu 0.04%
iter 230: loss 2.1060, time 3097.27ms, mfu 0.04%
iter 231: loss 2.1141, time 3160.06ms, mfu 0.04%
iter 232: loss 2.1012, time 3127.29ms, mfu 0.04%
iter 233: loss 2.0458, time 3127.49ms, mfu 0.04%
iter 234: loss 2.0354, time 3140.45ms, mfu 0.04%
iter 235: loss 2.0136, time 3108.11ms, mfu 0.04%
iter 236: loss 2.0315, time 3117.72ms, mfu 0.04%
iter 237: loss 2.0188, time 3127.04ms, mfu 0.04%
iter 238: loss 2.0757, time 2960.62ms, mfu 0.04%
iter 239: loss 2.0418, time 3123.06ms, mfu 0.04%
iter 240: loss 2.0272, time 3103.40ms, mfu 0.04%
iter 241: loss 1.9681, time 3089.93ms, mfu 0.04%
iter 242: loss 2.0162, time 3120.17ms, mfu 0.04%
iter 243: loss 2.0118, time 3094.73ms, mfu 0.04%
iter 244: loss 1.9514, time 3098.88ms, mfu 0.04%
iter 245: loss 2.0027, time 3118.01ms, mfu 0.04%
iter 246: loss 1.9586, time 3067.84ms, mfu 0.04%
iter 247: loss 1.9934, time 3066.52ms, mfu 0.04%
iter 248: loss 2.0018, time 3097.86ms, mfu 0.04%
iter 249: loss 2.0398, time 3116.35ms, mfu 0.04%
step 250: train loss 1.9974, val loss 2.1127
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0222, time 200437.37ms, mfu 0.04%
iter 251: loss 1.9805, time 3108.55ms, mfu 0.04%
iter 252: loss 2.0093, time 3096.98ms, mfu 0.04%
iter 253: loss 1.9898, time 3108.54ms, mfu 0.04%
iter 254: loss 1.9674, time 3060.97ms, mfu 0.04%
iter 255: loss 1.9697, time 3069.22ms, mfu 0.04%
iter 256: loss 1.9451, time 3104.95ms, mfu 0.04%
iter 257: loss 1.9804, time 3069.49ms, mfu 0.04%
iter 258: loss 2.0126, time 3047.88ms, mfu 0.04%
iter 259: loss 1.9714, time 3095.95ms, mfu 0.04%
iter 260: loss 1.9376, time 3069.73ms, mfu 0.04%
iter 261: loss 1.9624, time 3078.10ms, mfu 0.04%
iter 262: loss 1.9587, time 3095.38ms, mfu 0.04%
iter 263: loss 1.9627, time 3062.31ms, mfu 0.04%
iter 264: loss 2.0291, time 3118.08ms, mfu 0.04%
iter 265: loss 1.9965, time 3087.52ms, mfu 0.04%
iter 266: loss 1.9538, time 3096.34ms, mfu 0.04%
iter 267: loss 1.9278, time 3135.40ms, mfu 0.04%
iter 268: loss 1.9813, time 3081.24ms, mfu 0.04%
iter 269: loss 1.8860, time 3097.44ms, mfu 0.04%
iter 270: loss 1.9149, time 3097.36ms, mfu 0.04%
iter 271: loss 1.9551, time 3056.07ms, mfu 0.04%
iter 272: loss 1.9190, time 3089.98ms, mfu 0.04%
iter 273: loss 1.9094, time 3075.98ms, mfu 0.04%
iter 274: loss 1.9500, time 3154.44ms, mfu 0.04%
iter 275: loss 1.9224, time 3062.62ms, mfu 0.04%
iter 276: loss 1.9805, time 3055.89ms, mfu 0.04%
iter 277: loss 1.9281, time 3120.66ms, mfu 0.04%
iter 278: loss 1.9528, time 3050.78ms, mfu 0.04%
iter 279: loss 1.9350, time 3104.69ms, mfu 0.04%
iter 280: loss 1.8596, time 3065.98ms, mfu 0.04%
iter 281: loss 1.8909, time 3046.19ms, mfu 0.04%
iter 282: loss 1.8929, time 3093.00ms, mfu 0.04%
