iter 134: loss 2.4706, time 539.62ms, mfu 0.01%
iter 135: loss 2.4535, time 522.15ms, mfu 0.02%
iter 136: loss 2.4487, time 551.81ms, mfu 0.02%
iter 137: loss 2.4711, time 541.22ms, mfu 0.02%
iter 138: loss 2.4603, time 571.50ms, mfu 0.02%
iter 139: loss 2.5168, time 517.67ms, mfu 0.02%
iter 140: loss 2.4522, time 512.10ms, mfu 0.02%
iter 141: loss 2.4877, time 525.10ms, mfu 0.02%
iter 142: loss 2.4658, time 521.31ms, mfu 0.02%
iter 143: loss 2.4173, time 542.39ms, mfu 0.03%
iter 144: loss 2.4321, time 533.80ms, mfu 0.03%
iter 145: loss 2.4578, time 509.76ms, mfu 0.03%
iter 146: loss 2.4464, time 479.11ms, mfu 0.03%
iter 147: loss 2.3993, time 506.53ms, mfu 0.03%
iter 148: loss 2.3988, time 504.42ms, mfu 0.03%
iter 149: loss 2.4329, time 509.34ms, mfu 0.03%
iter 150: loss 2.4588, time 533.36ms, mfu 0.03%
iter 151: loss 2.4246, time 514.98ms, mfu 0.03%
iter 152: loss 2.4368, time 522.62ms, mfu 0.03%
iter 153: loss 2.4181, time 538.53ms, mfu 0.03%
iter 154: loss 2.4152, time 512.04ms, mfu 0.03%
iter 155: loss 2.4254, time 504.07ms, mfu 0.03%
iter 156: loss 2.4361, time 541.39ms, mfu 0.03%
iter 157: loss 2.4287, time 517.52ms, mfu 0.03%
iter 158: loss 2.4587, time 561.11ms, mfu 0.03%
iter 159: loss 2.4189, time 518.00ms, mfu 0.03%
iter 160: loss 2.4107, time 521.34ms, mfu 0.03%
iter 161: loss 2.4493, time 1533.47ms, mfu 0.03%
iter 162: loss 2.4196, time 1938.58ms, mfu 0.03%
iter 163: loss 2.4852, time 1867.71ms, mfu 0.03%
iter 164: loss 2.4733, time 1894.49ms, mfu 0.02%
iter 165: loss 2.4162, time 1979.36ms, mfu 0.02%
iter 166: loss 2.4341, time 1933.84ms, mfu 0.02%
iter 167: loss 2.4366, time 1978.12ms, mfu 0.02%
iter 168: loss 2.4014, time 1916.20ms, mfu 0.02%
iter 169: loss 2.4395, time 1928.86ms, mfu 0.02%
iter 170: loss 2.4080, time 1950.26ms, mfu 0.02%
iter 171: loss 2.4387, time 1931.79ms, mfu 0.02%
iter 172: loss 2.4316, time 1969.14ms, mfu 0.02%
iter 173: loss 2.4445, time 1970.64ms, mfu 0.01%
iter 174: loss 2.4272, time 1902.65ms, mfu 0.01%
iter 175: loss 2.4724, time 1930.84ms, mfu 0.01%
iter 176: loss 2.4171, time 1928.36ms, mfu 0.01%
iter 177: loss 2.4218, time 1913.20ms, mfu 0.01%
iter 178: loss 2.3733, time 1914.87ms, mfu 0.01%
iter 179: loss 2.3968, time 1885.80ms, mfu 0.01%
iter 180: loss 2.3903, time 1886.32ms, mfu 0.01%
iter 181: loss 2.3629, time 1949.22ms, mfu 0.01%
iter 182: loss 2.4458, time 1901.83ms, mfu 0.01%
iter 183: loss 2.4122, time 1931.83ms, mfu 0.01%
iter 184: loss 2.4115, time 1915.77ms, mfu 0.01%
iter 185: loss 2.3628, time 1949.52ms, mfu 0.01%
iter 186: loss 2.4165, time 1980.94ms, mfu 0.01%
iter 187: loss 2.3890, time 1950.18ms, mfu 0.01%
iter 188: loss 2.4038, time 1866.82ms, mfu 0.01%
iter 189: loss 2.3462, time 1911.73ms, mfu 0.01%
iter 190: loss 2.3892, time 1968.94ms, mfu 0.01%
iter 191: loss 2.3442, time 1892.79ms, mfu 0.01%
iter 192: loss 2.3755, time 1850.45ms, mfu 0.01%
iter 193: loss 2.3658, time 1829.80ms, mfu 0.01%
iter 194: loss 2.4057, time 1945.45ms, mfu 0.01%
iter 195: loss 2.3286, time 1975.31ms, mfu 0.01%
iter 196: loss 2.3793, time 1857.83ms, mfu 0.01%
iter 197: loss 2.3803, time 1895.72ms, mfu 0.01%
iter 198: loss 2.3798, time 1872.85ms, mfu 0.01%
iter 199: loss 2.3749, time 1972.09ms, mfu 0.01%
iter 200: loss 2.3604, time 1912.40ms, mfu 0.01%
iter 201: loss 2.3947, time 1959.22ms, mfu 0.01%
iter 202: loss 2.3447, time 1978.45ms, mfu 0.01%
iter 203: loss 2.3613, time 1892.21ms, mfu 0.01%
iter 204: loss 2.3600, time 1994.47ms, mfu 0.01%
iter 205: loss 2.3660, time 1982.27ms, mfu 0.01%
iter 206: loss 2.3475, time 1838.41ms, mfu 0.01%
iter 207: loss 2.2990, time 1891.41ms, mfu 0.01%
iter 208: loss 2.3766, time 1929.41ms, mfu 0.01%
iter 209: loss 2.3227, time 1983.05ms, mfu 0.01%
iter 210: loss 2.3272, time 1915.97ms, mfu 0.01%
iter 211: loss 2.3591, time 1942.83ms, mfu 0.01%
iter 212: loss 2.3118, time 1892.51ms, mfu 0.01%
iter 213: loss 2.3586, time 1932.17ms, mfu 0.01%
iter 214: loss 2.4052, time 1937.47ms, mfu 0.01%
iter 215: loss 2.3233, time 1897.25ms, mfu 0.01%
iter 216: loss 2.3527, time 1881.00ms, mfu 0.01%
iter 217: loss 2.3518, time 1842.06ms, mfu 0.01%
iter 218: loss 2.3273, time 2021.83ms, mfu 0.01%
iter 219: loss 2.3531, time 1929.48ms, mfu 0.01%
iter 220: loss 2.2918, time 1893.24ms, mfu 0.01%
iter 221: loss 2.3188, time 1949.95ms, mfu 0.01%
iter 222: loss 2.3320, time 1913.23ms, mfu 0.01%
iter 223: loss 2.2980, time 2098.59ms, mfu 0.01%
iter 224: loss 2.3135, time 1867.12ms, mfu 0.01%
iter 225: loss 2.3383, time 1943.56ms, mfu 0.01%
iter 226: loss 2.3052, time 1897.19ms, mfu 0.01%
iter 227: loss 2.3396, time 1880.09ms, mfu 0.01%
iter 228: loss 2.3066, time 1957.29ms, mfu 0.01%
iter 229: loss 2.2949, time 1946.81ms, mfu 0.01%
iter 230: loss 2.3369, time 1970.66ms, mfu 0.01%
iter 231: loss 2.2950, time 1941.57ms, mfu 0.01%
iter 232: loss 2.3055, time 1931.90ms, mfu 0.01%
iter 233: loss 2.3179, time 1916.47ms, mfu 0.01%
iter 234: loss 2.3442, time 1899.62ms, mfu 0.01%
iter 235: loss 2.2940, time 1911.73ms, mfu 0.01%
iter 236: loss 2.3193, time 1900.83ms, mfu 0.01%
iter 237: loss 2.2991, time 1931.35ms, mfu 0.01%
iter 238: loss 2.3494, time 1925.82ms, mfu 0.01%
iter 239: loss 2.2961, time 1943.13ms, mfu 0.01%
iter 240: loss 2.2966, time 1881.19ms, mfu 0.01%
iter 241: loss 2.2580, time 1880.48ms, mfu 0.01%
iter 242: loss 2.2631, time 1923.76ms, mfu 0.01%
iter 243: loss 2.2788, time 1906.79ms, mfu 0.01%
iter 244: loss 2.2834, time 1936.11ms, mfu 0.01%
iter 245: loss 2.3179, time 1961.19ms, mfu 0.01%
iter 246: loss 2.3341, time 1931.60ms, mfu 0.01%
iter 247: loss 2.3269, time 1976.35ms, mfu 0.01%
iter 248: loss 2.3387, time 1968.62ms, mfu 0.01%
iter 249: loss 2.3335, time 1879.09ms, mfu 0.01%
step 250: train loss 2.3156, val loss 2.3272
saving checkpoint to out-shakespeare-char
iter 250: loss 2.3695, time 122723.02ms, mfu 0.01%
iter 251: loss 2.3111, time 1957.05ms, mfu 0.01%
iter 252: loss 2.2969, time 1909.33ms, mfu 0.01%
iter 253: loss 2.3246, time 1943.70ms, mfu 0.01%
iter 254: loss 2.2971, time 1973.19ms, mfu 0.01%
iter 255: loss 2.2987, time 2020.71ms, mfu 0.01%
iter 256: loss 2.2663, time 1924.53ms, mfu 0.01%
iter 257: loss 2.2617, time 1946.76ms, mfu 0.01%
iter 258: loss 2.2713, time 1943.20ms, mfu 0.01%
iter 259: loss 2.3135, time 1953.39ms, mfu 0.01%
iter 260: loss 2.3188, time 1951.57ms, mfu 0.01%
iter 261: loss 2.2596, time 2002.93ms, mfu 0.01%
iter 262: loss 2.2779, time 2021.72ms, mfu 0.01%
iter 263: loss 2.2367, time 1970.92ms, mfu 0.01%
iter 264: loss 2.3011, time 1929.14ms, mfu 0.01%
iter 265: loss 2.2644, time 1624.19ms, mfu 0.01%
iter 266: loss 2.3064, time 575.19ms, mfu 0.01%
iter 267: loss 2.2964, time 556.20ms, mfu 0.01%
iter 268: loss 2.2886, time 575.09ms, mfu 0.01%
iter 269: loss 2.2406, time 574.29ms, mfu 0.02%
iter 270: loss 2.3148, time 558.95ms, mfu 0.02%
iter 271: loss 2.2643, time 555.70ms, mfu 0.02%
iter 272: loss 2.2521, time 567.33ms, mfu 0.02%
iter 273: loss 2.2837, time 556.48ms, mfu 0.02%
iter 274: loss 2.2693, time 578.12ms, mfu 0.02%
iter 275: loss 2.2555, time 516.23ms, mfu 0.02%
iter 276: loss 2.2731, time 537.71ms, mfu 0.02%
iter 277: loss 2.2994, time 531.11ms, mfu 0.03%
iter 278: loss 2.2609, time 518.82ms, mfu 0.03%
iter 279: loss 2.2470, time 535.83ms, mfu 0.03%
iter 280: loss 2.2880, time 533.99ms, mfu 0.03%
iter 281: loss 2.2955, time 550.21ms, mfu 0.03%
iter 282: loss 2.2661, time 534.01ms, mfu 0.03%
iter 283: loss 2.2612, time 546.34ms, mfu 0.03%
iter 284: loss 2.2554, time 537.79ms, mfu 0.03%
iter 285: loss 2.2412, time 535.01ms, mfu 0.03%
iter 286: loss 2.3041, time 523.11ms, mfu 0.03%
iter 287: loss 2.2036, time 577.09ms, mfu 0.03%
iter 288: loss 2.2164, time 574.07ms, mfu 0.03%
iter 289: loss 2.2407, time 550.78ms, mfu 0.03%
iter 290: loss 2.2626, time 572.82ms, mfu 0.03%
iter 291: loss 2.3063, time 496.16ms, mfu 0.03%
iter 292: loss 2.2108, time 518.98ms, mfu 0.03%
iter 293: loss 2.2589, time 549.29ms, mfu 0.03%
iter 294: loss 2.2574, time 518.74ms, mfu 0.03%
iter 295: loss 2.2242, time 519.75ms, mfu 0.03%
iter 296: loss 2.1705, time 503.94ms, mfu 0.03%
iter 297: loss 2.2626, time 511.23ms, mfu 0.03%
iter 298: loss 2.2411, time 533.61ms, mfu 0.03%
iter 299: loss 2.2432, time 522.59ms, mfu 0.03%
iter 300: loss 2.1913, time 523.86ms, mfu 0.03%
iter 301: loss 2.2286, time 525.06ms, mfu 0.03%
iter 302: loss 2.2567, time 529.47ms, mfu 0.03%
iter 303: loss 2.2149, time 528.32ms, mfu 0.03%
iter 304: loss 2.2337, time 524.56ms, mfu 0.03%
iter 305: loss 2.2224, time 528.05ms, mfu 0.03%
iter 306: loss 2.2559, time 513.60ms, mfu 0.03%
iter 307: loss 2.2629, time 511.31ms, mfu 0.03%
iter 308: loss 2.2724, time 520.57ms, mfu 0.03%
iter 309: loss 2.2350, time 512.45ms, mfu 0.03%
iter 310: loss 2.2243, time 518.26ms, mfu 0.03%
iter 311: loss 2.2697, time 507.12ms, mfu 0.03%
iter 312: loss 2.2304, time 519.61ms, mfu 0.03%
iter 313: loss 2.2307, time 532.53ms, mfu 0.03%
iter 314: loss 2.2161, time 503.40ms, mfu 0.03%
iter 315: loss 2.2353, time 514.81ms, mfu 0.03%
iter 316: loss 2.2272, time 532.90ms, mfu 0.03%
iter 317: loss 2.2363, time 510.63ms, mfu 0.03%
iter 318: loss 2.2249, time 541.37ms, mfu 0.03%
iter 319: loss 2.1985, time 506.42ms, mfu 0.03%
iter 320: loss 2.2253, time 502.50ms, mfu 0.03%
iter 321: loss 2.2158, time 507.50ms, mfu 0.03%
iter 322: loss 2.1915, time 527.88ms, mfu 0.03%
iter 323: loss 2.2169, time 522.97ms, mfu 0.03%
iter 324: loss 2.1956, time 528.27ms, mfu 0.03%
iter 325: loss 2.2184, time 522.42ms, mfu 0.03%
iter 326: loss 2.2127, time 528.02ms, mfu 0.03%
iter 327: loss 2.1647, time 539.86ms, mfu 0.03%
iter 328: loss 2.1531, time 517.16ms, mfu 0.03%
iter 329: loss 2.2247, time 518.80ms, mfu 0.03%
iter 330: loss 2.2312, time 514.49ms, mfu 0.03%
iter 331: loss 2.1877, time 495.61ms, mfu 0.03%
iter 332: loss 2.1810, time 498.17ms, mfu 0.03%
iter 333: loss 2.1408, time 512.90ms, mfu 0.03%
iter 334: loss 2.1738, time 518.75ms, mfu 0.03%
iter 335: loss 2.1660, time 532.23ms, mfu 0.03%
iter 336: loss 2.1542, time 514.72ms, mfu 0.03%
iter 337: loss 2.1681, time 506.64ms, mfu 0.03%
iter 338: loss 2.1761, time 519.12ms, mfu 0.03%
iter 339: loss 2.1701, time 518.20ms, mfu 0.03%
iter 340: loss 2.1522, time 512.44ms, mfu 0.03%
iter 341: loss 2.1771, time 513.21ms, mfu 0.03%
iter 342: loss 2.1048, time 529.06ms, mfu 0.03%
iter 343: loss 2.1916, time 526.94ms, mfu 0.03%
iter 344: loss 2.1809, time 535.01ms, mfu 0.03%
iter 345: loss 2.2040, time 499.52ms, mfu 0.03%
iter 346: loss 2.1418, time 504.17ms, mfu 0.03%
iter 347: loss 2.1918, time 499.81ms, mfu 0.03%
iter 348: loss 2.1802, time 520.56ms, mfu 0.03%
iter 349: loss 2.1427, time 537.79ms, mfu 0.03%
iter 350: loss 2.1890, time 534.96ms, mfu 0.03%
iter 351: loss 2.1414, time 536.25ms, mfu 0.03%
iter 352: loss 2.1889, time 529.40ms, mfu 0.03%
iter 353: loss 2.1157, time 517.26ms, mfu 0.03%
iter 354: loss 2.1426, time 512.08ms, mfu 0.03%
iter 355: loss 2.1835, time 523.44ms, mfu 0.03%
iter 356: loss 2.1410, time 496.86ms, mfu 0.03%
iter 357: loss 2.1415, time 511.16ms, mfu 0.03%
iter 358: loss 2.1278, time 528.62ms, mfu 0.03%
iter 359: loss 2.1874, time 493.91ms, mfu 0.03%
iter 360: loss 2.1302, time 514.74ms, mfu 0.03%
iter 361: loss 2.1744, time 515.70ms, mfu 0.03%
iter 362: loss 2.1294, time 516.17ms, mfu 0.03%
iter 363: loss 2.0942, time 514.32ms, mfu 0.03%
iter 364: loss 2.1772, time 523.22ms, mfu 0.03%
iter 365: loss 2.1187, time 548.49ms, mfu 0.03%
iter 366: loss 2.1359, time 510.98ms, mfu 0.03%
iter 367: loss 2.1483, time 534.19ms, mfu 0.03%
iter 368: loss 2.1847, time 520.11ms, mfu 0.03%
iter 369: loss 2.1208, time 494.52ms, mfu 0.03%
iter 370: loss 2.1329, time 529.89ms, mfu 0.03%
iter 371: loss 2.1589, time 537.26ms, mfu 0.03%
iter 372: loss 2.1044, time 520.10ms, mfu 0.03%
iter 373: loss 2.1201, time 510.27ms, mfu 0.03%
iter 374: loss 2.0739, time 509.35ms, mfu 0.03%
iter 375: loss 2.1497, time 513.33ms, mfu 0.03%
iter 376: loss 2.1013, time 518.80ms, mfu 0.03%
iter 377: loss 2.1626, time 533.19ms, mfu 0.03%
iter 378: loss 2.1149, time 502.81ms, mfu 0.03%
iter 379: loss 2.0931, time 505.38ms, mfu 0.03%
iter 380: loss 2.1588, time 520.63ms, mfu 0.03%
iter 381: loss 2.1147, time 526.55ms, mfu 0.03%
