C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTswiGLUV2\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 6
Overriding: n_head = 6
Overriding: n_embd = 192
Overriding: max_iters = 4000
Overriding: lr_decay_iters = 4000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 2.67M
num decayed parameter tensors: 26, with 2,691,264 parameters
num non-decayed parameter tensors: 13, with 2,496 parameters
iter 32: loss 3.0497, time 506.87ms, mfu 0.03%
iter 33: loss 3.0345, time 505.71ms, mfu 0.03%
iter 34: loss 3.0080, time 492.10ms, mfu 0.03%
iter 35: loss 2.9830, time 554.70ms, mfu 0.03%
iter 36: loss 2.9272, time 600.82ms, mfu 0.03%
iter 37: loss 2.9257, time 555.26ms, mfu 0.03%
iter 38: loss 2.8774, time 539.45ms, mfu 0.03%
iter 39: loss 2.8488, time 524.41ms, mfu 0.03%
iter 40: loss 2.7849, time 509.17ms, mfu 0.03%
iter 41: loss 2.8018, time 555.04ms, mfu 0.03%
iter 42: loss 2.7961, time 540.17ms, mfu 0.03%
iter 43: loss 2.7475, time 522.20ms, mfu 0.03%
iter 44: loss 2.7487, time 507.05ms, mfu 0.03%
iter 45: loss 2.7212, time 525.04ms, mfu 0.03%
iter 46: loss 2.7150, time 523.89ms, mfu 0.03%
iter 47: loss 2.7684, time 538.86ms, mfu 0.03%
iter 48: loss 2.7264, time 635.17ms, mfu 0.03%
iter 49: loss 2.6433, time 569.62ms, mfu 0.03%
iter 50: loss 2.6970, time 541.20ms, mfu 0.03%
iter 51: loss 2.7451, time 555.48ms, mfu 0.03%
iter 52: loss 2.6444, time 554.36ms, mfu 0.03%
iter 53: loss 2.6795, time 507.27ms, mfu 0.03%
iter 54: loss 2.6675, time 553.97ms, mfu 0.03%
iter 55: loss 2.6586, time 583.91ms, mfu 0.03%
iter 56: loss 2.6829, time 572.69ms, mfu 0.03%
iter 57: loss 2.6178, time 536.05ms, mfu 0.03%
iter 58: loss 2.6274, time 475.61ms, mfu 0.03%
iter 59: loss 2.5963, time 539.73ms, mfu 0.03%
iter 60: loss 2.6323, time 571.42ms, mfu 0.03%
iter 61: loss 2.6396, time 539.72ms, mfu 0.03%
iter 62: loss 2.6133, time 586.90ms, mfu 0.03%
iter 63: loss 2.5384, time 491.22ms, mfu 0.03%
iter 64: loss 2.6123, time 443.30ms, mfu 0.03%
iter 65: loss 2.5834, time 364.31ms, mfu 0.03%
iter 66: loss 2.6183, time 364.37ms, mfu 0.04%
iter 67: loss 2.5739, time 348.97ms, mfu 0.04%
iter 68: loss 2.5266, time 364.63ms, mfu 0.04%
iter 69: loss 2.5534, time 379.08ms, mfu 0.04%
iter 70: loss 2.5286, time 348.37ms, mfu 0.04%
iter 71: loss 2.5485, time 363.83ms, mfu 0.04%
iter 72: loss 2.5325, time 364.33ms, mfu 0.04%
iter 73: loss 2.5368, time 364.07ms, mfu 0.04%
iter 74: loss 2.5556, time 347.84ms, mfu 0.04%
iter 75: loss 2.5758, time 365.87ms, mfu 0.04%
iter 76: loss 2.5323, time 347.63ms, mfu 0.04%
iter 77: loss 2.5470, time 364.61ms, mfu 0.04%
iter 78: loss 2.5016, time 363.93ms, mfu 0.05%
iter 79: loss 2.4665, time 365.29ms, mfu 0.05%
iter 80: loss 2.5461, time 347.87ms, mfu 0.05%
iter 81: loss 2.4732, time 363.83ms, mfu 0.05%
iter 82: loss 2.5959, time 364.04ms, mfu 0.05%
iter 83: loss 2.5583, time 362.29ms, mfu 0.05%
iter 84: loss 2.4961, time 363.73ms, mfu 0.05%
iter 85: loss 2.5112, time 348.54ms, mfu 0.05%
iter 86: loss 2.5035, time 363.31ms, mfu 0.05%
iter 87: loss 2.5517, time 363.13ms, mfu 0.05%
iter 88: loss 2.4743, time 364.01ms, mfu 0.05%
iter 89: loss 2.5279, time 364.03ms, mfu 0.05%
iter 90: loss 2.5438, time 348.00ms, mfu 0.05%
iter 91: loss 2.4846, time 363.29ms, mfu 0.05%
iter 92: loss 2.5044, time 364.62ms, mfu 0.05%
iter 93: loss 2.4983, time 363.44ms, mfu 0.05%
iter 94: loss 2.5300, time 362.25ms, mfu 0.05%
iter 95: loss 2.4750, time 363.79ms, mfu 0.05%
iter 96: loss 2.4740, time 363.80ms, mfu 0.05%
iter 97: loss 2.4826, time 348.09ms, mfu 0.05%
iter 98: loss 2.4647, time 364.23ms, mfu 0.05%
iter 99: loss 2.4440, time 348.80ms, mfu 0.05%
iter 100: loss 2.4757, time 364.87ms, mfu 0.05%
iter 101: loss 2.5131, time 362.73ms, mfu 0.05%
iter 102: loss 2.4790, time 347.15ms, mfu 0.05%
iter 103: loss 2.4976, time 365.13ms, mfu 0.05%
iter 104: loss 2.4519, time 348.58ms, mfu 0.05%
iter 105: loss 2.4649, time 365.32ms, mfu 0.05%
iter 106: loss 2.4670, time 364.21ms, mfu 0.05%
iter 107: loss 2.4285, time 349.50ms, mfu 0.05%
iter 108: loss 2.4868, time 348.31ms, mfu 0.05%
iter 109: loss 2.4186, time 362.65ms, mfu 0.05%
iter 110: loss 2.4752, time 349.19ms, mfu 0.05%
iter 111: loss 2.4744, time 364.13ms, mfu 0.05%
iter 112: loss 2.4737, time 348.44ms, mfu 0.05%
iter 113: loss 2.4094, time 364.20ms, mfu 0.05%
iter 114: loss 2.4526, time 348.35ms, mfu 0.05%
iter 115: loss 2.5183, time 364.41ms, mfu 0.05%
iter 116: loss 2.4439, time 348.86ms, mfu 0.05%
iter 117: loss 2.4214, time 348.33ms, mfu 0.05%
iter 118: loss 2.4715, time 364.69ms, mfu 0.05%
iter 119: loss 2.4668, time 348.29ms, mfu 0.05%
iter 120: loss 2.4169, time 364.99ms, mfu 0.05%
iter 121: loss 2.4386, time 379.82ms, mfu 0.05%
iter 122: loss 2.4478, time 395.72ms, mfu 0.05%
iter 123: loss 2.4576, time 395.20ms, mfu 0.05%
iter 124: loss 2.4453, time 878.28ms, mfu 0.05%
iter 125: loss 2.4396, time 1145.13ms, mfu 0.04%
iter 126: loss 2.4887, time 1238.10ms, mfu 0.04%
iter 127: loss 2.4310, time 1427.74ms, mfu 0.04%
iter 128: loss 2.4396, time 1451.71ms, mfu 0.03%
iter 129: loss 2.4091, time 1433.59ms, mfu 0.03%
iter 130: loss 2.4326, time 1469.67ms, mfu 0.03%
iter 131: loss 2.4312, time 1381.27ms, mfu 0.03%
iter 132: loss 2.4349, time 1496.70ms, mfu 0.03%
iter 133: loss 2.4251, time 1209.95ms, mfu 0.03%
iter 134: loss 2.4025, time 1320.13ms, mfu 0.02%
iter 135: loss 2.4167, time 1119.98ms, mfu 0.02%
iter 136: loss 2.4323, time 1092.99ms, mfu 0.02%
iter 137: loss 2.4250, time 1506.44ms, mfu 0.02%
iter 138: loss 2.4127, time 1281.47ms, mfu 0.02%
iter 139: loss 2.4177, time 1441.42ms, mfu 0.02%
iter 140: loss 2.4503, time 1345.75ms, mfu 0.02%
iter 141: loss 2.4033, time 1363.14ms, mfu 0.02%
iter 142: loss 2.4266, time 1487.96ms, mfu 0.02%
iter 143: loss 2.4409, time 1339.02ms, mfu 0.02%
iter 144: loss 2.3991, time 1288.16ms, mfu 0.02%
iter 145: loss 2.4063, time 1375.99ms, mfu 0.02%
iter 146: loss 2.3918, time 1346.16ms, mfu 0.02%
iter 147: loss 2.4032, time 1052.17ms, mfu 0.02%
iter 148: loss 2.3877, time 1052.31ms, mfu 0.02%
iter 149: loss 2.4293, time 1220.17ms, mfu 0.02%
iter 150: loss 2.3794, time 1091.11ms, mfu 0.02%
iter 151: loss 2.4325, time 1034.23ms, mfu 0.02%
iter 152: loss 2.4100, time 1090.23ms, mfu 0.02%
iter 153: loss 2.3765, time 1053.90ms, mfu 0.02%
iter 154: loss 2.3735, time 1195.85ms, mfu 0.02%
iter 155: loss 2.3718, time 1232.54ms, mfu 0.02%
iter 156: loss 2.3990, time 1127.12ms, mfu 0.02%
iter 157: loss 2.3851, time 1065.89ms, mfu 0.02%
iter 158: loss 2.3734, time 1245.14ms, mfu 0.02%
iter 159: loss 2.3817, time 1330.57ms, mfu 0.02%
iter 160: loss 2.3926, time 1499.30ms, mfu 0.02%
iter 161: loss 2.3954, time 1398.97ms, mfu 0.01%
iter 162: loss 2.3325, time 1346.97ms, mfu 0.01%
iter 163: loss 2.4128, time 1544.02ms, mfu 0.01%
iter 164: loss 2.3728, time 1538.47ms, mfu 0.01%
iter 165: loss 2.3832, time 1476.81ms, mfu 0.01%
iter 166: loss 2.3493, time 1415.51ms, mfu 0.01%
iter 167: loss 2.3985, time 1444.90ms, mfu 0.01%
iter 168: loss 2.3461, time 1632.91ms, mfu 0.01%
iter 169: loss 2.3506, time 1555.57ms, mfu 0.01%
iter 170: loss 2.3127, time 1199.19ms, mfu 0.01%
iter 171: loss 2.3947, time 1174.28ms, mfu 0.01%
iter 172: loss 2.3960, time 1447.45ms, mfu 0.01%
iter 173: loss 2.3857, time 1447.91ms, mfu 0.01%
iter 174: loss 2.4038, time 1351.23ms, mfu 0.01%
iter 175: loss 2.3681, time 1531.04ms, mfu 0.01%
iter 176: loss 2.3858, time 1364.52ms, mfu 0.01%
iter 177: loss 2.3332, time 1573.49ms, mfu 0.01%
iter 178: loss 2.3081, time 1429.62ms, mfu 0.01%
iter 179: loss 2.3774, time 1642.83ms, mfu 0.01%
iter 180: loss 2.3278, time 1461.82ms, mfu 0.01%
iter 181: loss 2.3415, time 1454.35ms, mfu 0.01%
iter 182: loss 2.3119, time 1365.18ms, mfu 0.01%
iter 183: loss 2.3045, time 1353.94ms, mfu 0.01%
iter 184: loss 2.3180, time 1494.93ms, mfu 0.01%
iter 185: loss 2.3390, time 1296.72ms, mfu 0.01%
iter 186: loss 2.3483, time 1054.08ms, mfu 0.01%
iter 187: loss 2.3641, time 1229.63ms, mfu 0.01%
iter 188: loss 2.2902, time 1319.11ms, mfu 0.01%
iter 189: loss 2.3647, time 1124.88ms, mfu 0.01%
iter 190: loss 2.2723, time 1506.86ms, mfu 0.01%
iter 191: loss 2.3252, time 1354.03ms, mfu 0.01%
iter 192: loss 2.2997, time 1500.54ms, mfu 0.01%
iter 193: loss 2.2223, time 1638.97ms, mfu 0.01%
iter 194: loss 2.3204, time 1394.09ms, mfu 0.01%
iter 195: loss 2.2960, time 1168.02ms, mfu 0.01%
iter 196: loss 2.3426, time 1145.40ms, mfu 0.01%
iter 197: loss 2.2779, time 1500.27ms, mfu 0.01%
iter 198: loss 2.3126, time 1507.41ms, mfu 0.01%
iter 199: loss 2.2811, time 1522.50ms, mfu 0.01%
iter 200: loss 2.2803, time 1476.14ms, mfu 0.01%
iter 201: loss 2.3307, time 1187.80ms, mfu 0.01%
iter 202: loss 2.2862, time 1348.87ms, mfu 0.01%
iter 203: loss 2.2832, time 1036.68ms, mfu 0.01%
iter 204: loss 2.2979, time 1212.63ms, mfu 0.01%
iter 205: loss 2.2996, time 1428.72ms, mfu 0.01%
iter 206: loss 2.3226, time 1378.12ms, mfu 0.01%
iter 207: loss 2.2461, time 1586.96ms, mfu 0.01%
iter 208: loss 2.2937, time 1505.99ms, mfu 0.01%
iter 209: loss 2.2771, time 1417.66ms, mfu 0.01%
iter 210: loss 2.2934, time 1294.23ms, mfu 0.01%
iter 211: loss 2.3590, time 1344.38ms, mfu 0.01%
iter 212: loss 2.3374, time 1246.03ms, mfu 0.01%
iter 213: loss 2.2689, time 1525.14ms, mfu 0.01%
iter 214: loss 2.2896, time 1386.32ms, mfu 0.01%
iter 215: loss 2.3098, time 1550.33ms, mfu 0.01%
iter 216: loss 2.2586, time 1400.29ms, mfu 0.01%
iter 217: loss 2.3025, time 1534.67ms, mfu 0.01%
iter 218: loss 2.2390, time 1211.36ms, mfu 0.01%
iter 219: loss 2.2780, time 1500.63ms, mfu 0.01%
iter 220: loss 2.2425, time 1323.77ms, mfu 0.01%
iter 221: loss 2.2950, time 1411.35ms, mfu 0.01%
iter 222: loss 2.2458, time 1472.16ms, mfu 0.01%
iter 223: loss 2.2951, time 1409.89ms, mfu 0.01%
iter 224: loss 2.2458, time 1441.29ms, mfu 0.01%
iter 225: loss 2.3014, time 1447.45ms, mfu 0.01%
iter 226: loss 2.2408, time 1321.35ms, mfu 0.01%
iter 227: loss 2.2697, time 1330.28ms, mfu 0.01%
iter 228: loss 2.2367, time 1487.14ms, mfu 0.01%
iter 229: loss 2.2397, time 1518.65ms, mfu 0.01%
iter 230: loss 2.2538, time 1434.07ms, mfu 0.01%
iter 231: loss 2.2160, time 1374.36ms, mfu 0.01%
iter 232: loss 2.2354, time 1474.24ms, mfu 0.01%
iter 233: loss 2.2428, time 1476.33ms, mfu 0.01%
iter 234: loss 2.2445, time 1475.11ms, mfu 0.01%
iter 235: loss 2.1621, time 1418.97ms, mfu 0.01%
iter 236: loss 2.1860, time 1399.97ms, mfu 0.01%
iter 237: loss 2.2207, time 1380.41ms, mfu 0.01%
iter 238: loss 2.2329, time 1475.71ms, mfu 0.01%
iter 239: loss 2.1717, time 1561.38ms, mfu 0.01%
iter 240: loss 2.2176, time 1419.47ms, mfu 0.01%
iter 241: loss 2.2367, time 1528.29ms, mfu 0.01%
iter 242: loss 2.1917, time 1518.27ms, mfu 0.01%
iter 243: loss 2.2012, time 1339.34ms, mfu 0.01%
iter 244: loss 2.1758, time 1530.84ms, mfu 0.01%
iter 245: loss 2.2056, time 1541.69ms, mfu 0.01%
iter 246: loss 2.1730, time 1522.30ms, mfu 0.01%
iter 247: loss 2.1624, time 1328.31ms, mfu 0.01%
iter 248: loss 2.1635, time 1088.69ms, mfu 0.01%
iter 249: loss 2.1536, time 1056.32ms, mfu 0.01%
step 250: train loss 2.1980, val loss 2.2405
saving checkpoint to out-shakespeare-char
iter 250: loss 2.2128, time 80548.02ms, mfu 0.01%
iter 251: loss 2.2187, time 1143.78ms, mfu 0.01%
iter 252: loss 2.1864, time 1188.75ms, mfu 0.01%
iter 253: loss 2.2083, time 1347.66ms, mfu 0.01%
iter 254: loss 2.2163, time 1331.06ms, mfu 0.01%
iter 255: loss 2.1737, time 1254.57ms, mfu 0.01%
iter 256: loss 2.1707, time 1255.32ms, mfu 0.01%
iter 257: loss 2.1087, time 1433.46ms, mfu 0.01%
iter 258: loss 2.2149, time 1148.93ms, mfu 0.01%
iter 259: loss 2.1538, time 1163.96ms, mfu 0.01%
iter 260: loss 2.1837, time 1112.47ms, mfu 0.01%
iter 261: loss 2.1165, time 1147.03ms, mfu 0.01%
iter 262: loss 2.1951, time 1129.56ms, mfu 0.01%
iter 263: loss 2.2063, time 1188.45ms, mfu 0.01%
iter 264: loss 2.1383, time 1149.69ms, mfu 0.01%
iter 265: loss 2.2045, time 1056.91ms, mfu 0.01%
iter 266: loss 2.1590, time 1023.59ms, mfu 0.01%
iter 267: loss 2.1664, time 1009.23ms, mfu 0.01%
iter 268: loss 2.1820, time 1135.71ms, mfu 0.01%
iter 269: loss 2.1246, time 1027.60ms, mfu 0.02%
iter 270: loss 2.1405, time 1320.53ms, mfu 0.01%
iter 271: loss 2.1420, time 1611.69ms, mfu 0.01%
iter 272: loss 2.1531, time 1596.40ms, mfu 0.01%
iter 273: loss 2.1318, time 1979.62ms, mfu 0.01%
iter 274: loss 2.1790, time 1582.10ms, mfu 0.01%
iter 275: loss 2.1009, time 1575.16ms, mfu 0.01%
iter 276: loss 2.1058, time 1530.39ms, mfu 0.01%
iter 277: loss 2.1446, time 1792.87ms, mfu 0.01%
iter 278: loss 2.1528, time 1553.43ms, mfu 0.01%
iter 279: loss 2.1950, time 1543.90ms, mfu 0.01%
iter 280: loss 2.0857, time 1451.77ms, mfu 0.01%
iter 281: loss 2.1003, time 1583.02ms, mfu 0.01%
iter 282: loss 2.1251, time 1594.13ms, mfu 0.01%
iter 283: loss 2.1253, time 1585.16ms, mfu 0.01%
iter 284: loss 2.1019, time 1614.12ms, mfu 0.01%
iter 285: loss 2.1446, time 1496.21ms, mfu 0.01%
iter 286: loss 2.1070, time 1634.21ms, mfu 0.01%
iter 287: loss 2.0903, time 1536.10ms, mfu 0.01%
iter 288: loss 2.1316, time 1573.37ms, mfu 0.01%
iter 289: loss 2.0772, time 1610.11ms, mfu 0.01%
iter 290: loss 2.0715, time 1602.38ms, mfu 0.01%
iter 291: loss 2.0951, time 1535.89ms, mfu 0.01%
iter 292: loss 2.0652, time 1502.37ms, mfu 0.01%
iter 293: loss 2.0048, time 1608.25ms, mfu 0.01%
iter 294: loss 2.1798, time 1595.69ms, mfu 0.01%
iter 295: loss 2.1299, time 1469.24ms, mfu 0.01%
iter 296: loss 2.1475, time 1708.56ms, mfu 0.01%
iter 297: loss 2.1158, time 1616.40ms, mfu 0.01%
iter 298: loss 2.0508, time 1032.73ms, mfu 0.01%
iter 299: loss 2.1386, time 1022.56ms, mfu 0.01%
iter 300: loss 2.0648, time 1292.90ms, mfu 0.01%
iter 301: loss 2.1062, time 813.61ms, mfu 0.01%
iter 302: loss 2.0792, time 522.47ms, mfu 0.02%
iter 303: loss 2.0491, time 519.79ms, mfu 0.02%
iter 304: loss 2.0978, time 490.75ms, mfu 0.02%
iter 305: loss 2.0700, time 519.03ms, mfu 0.02%
iter 306: loss 2.0504, time 505.70ms, mfu 0.02%
iter 307: loss 2.0361, time 552.35ms, mfu 0.02%
iter 308: loss 2.1312, time 569.04ms, mfu 0.02%
iter 309: loss 2.0547, time 568.89ms, mfu 0.02%
iter 310: loss 2.0572, time 569.82ms, mfu 0.03%
iter 311: loss 2.0283, time 551.10ms, mfu 0.03%
iter 312: loss 2.0926, time 551.97ms, mfu 0.03%
iter 313: loss 2.0851, time 537.71ms, mfu 0.03%
iter 314: loss 2.0501, time 507.19ms, mfu 0.03%
iter 315: loss 2.0643, time 520.61ms, mfu 0.03%
iter 316: loss 2.0502, time 504.51ms, mfu 0.03%
iter 317: loss 2.0682, time 520.01ms, mfu 0.03%
iter 318: loss 2.0261, time 536.41ms, mfu 0.03%
iter 319: loss 2.0900, time 583.44ms, mfu 0.03%
iter 320: loss 2.0745, time 553.34ms, mfu 0.03%
iter 321: loss 2.0142, time 554.81ms, mfu 0.03%
iter 322: loss 2.0831, time 504.69ms, mfu 0.03%
iter 323: loss 2.0474, time 520.78ms, mfu 0.03%
iter 324: loss 2.0183, time 521.23ms, mfu 0.03%
iter 325: loss 2.0362, time 536.41ms, mfu 0.03%
iter 326: loss 1.9626, time 506.10ms, mfu 0.03%
iter 327: loss 2.0469, time 522.49ms, mfu 0.03%
iter 328: loss 1.9767, time 536.64ms, mfu 0.03%
iter 329: loss 1.9981, time 522.66ms, mfu 0.03%
iter 330: loss 2.0156, time 505.58ms, mfu 0.03%
iter 331: loss 1.9789, time 537.29ms, mfu 0.03%
iter 332: loss 2.0451, time 569.77ms, mfu 0.03%
iter 333: loss 1.9509, time 553.82ms, mfu 0.03%
iter 334: loss 2.0062, time 584.59ms, mfu 0.03%
iter 335: loss 1.9588, time 570.05ms, mfu 0.03%
iter 336: loss 1.9734, time 569.57ms, mfu 0.03%
iter 337: loss 2.0067, time 585.10ms, mfu 0.03%
iter 338: loss 1.9754, time 537.50ms, mfu 0.03%
iter 339: loss 1.9732, time 583.35ms, mfu 0.03%
iter 340: loss 2.0126, time 567.70ms, mfu 0.03%
iter 341: loss 1.9860, time 567.70ms, mfu 0.03%
iter 342: loss 1.9349, time 536.61ms, mfu 0.03%
iter 343: loss 1.9874, time 582.38ms, mfu 0.03%
iter 344: loss 1.9740, time 553.33ms, mfu 0.03%
iter 345: loss 1.9356, time 568.59ms, mfu 0.03%
iter 346: loss 1.8983, time 567.08ms, mfu 0.03%
iter 347: loss 1.9832, time 583.55ms, mfu 0.03%
iter 348: loss 1.9420, time 569.37ms, mfu 0.03%
iter 349: loss 1.9947, time 586.31ms, mfu 0.03%
iter 350: loss 1.9493, time 570.10ms, mfu 0.03%
iter 351: loss 1.9556, time 543.60ms, mfu 0.03%
iter 352: loss 1.9465, time 562.97ms, mfu 0.03%
iter 353: loss 1.9402, time 569.68ms, mfu 0.03%
iter 354: loss 1.9308, time 583.96ms, mfu 0.03%
iter 355: loss 1.9362, time 552.37ms, mfu 0.03%
iter 356: loss 1.9661, time 554.46ms, mfu 0.03%
iter 357: loss 1.9870, time 568.36ms, mfu 0.03%
iter 358: loss 1.9948, time 551.31ms, mfu 0.03%
iter 359: loss 1.8955, time 568.00ms, mfu 0.03%
iter 360: loss 2.0137, time 510.10ms, mfu 0.03%
iter 361: loss 1.9290, time 515.15ms, mfu 0.03%
iter 362: loss 1.9136, time 510.38ms, mfu 0.03%
iter 363: loss 1.9807, time 517.62ms, mfu 0.03%
iter 364: loss 1.9481, time 567.04ms, mfu 0.03%
iter 365: loss 1.8870, time 552.57ms, mfu 0.03%
iter 366: loss 1.9553, time 552.54ms, mfu 0.03%
iter 367: loss 1.8620, time 554.28ms, mfu 0.03%
iter 368: loss 1.9129, time 568.82ms, mfu 0.03%
iter 369: loss 1.9355, time 583.70ms, mfu 0.03%
iter 370: loss 1.8957, time 556.99ms, mfu 0.03%
iter 371: loss 1.9462, time 566.88ms, mfu 0.03%
iter 372: loss 1.9028, time 585.33ms, mfu 0.03%
iter 373: loss 1.8943, time 553.47ms, mfu 0.03%
iter 374: loss 1.8922, time 567.70ms, mfu 0.03%
iter 375: loss 1.8692, time 583.68ms, mfu 0.03%
iter 376: loss 1.8635, time 566.59ms, mfu 0.03%
iter 377: loss 1.8892, time 552.11ms, mfu 0.03%
iter 378: loss 1.9545, time 567.49ms, mfu 0.03%
iter 379: loss 1.9188, time 567.59ms, mfu 0.03%
iter 380: loss 1.8478, time 568.24ms, mfu 0.03%
iter 381: loss 1.9279, time 568.10ms, mfu 0.03%
iter 382: loss 1.9076, time 569.43ms, mfu 0.03%
iter 383: loss 1.9186, time 536.77ms, mfu 0.03%
iter 384: loss 1.9085, time 519.96ms, mfu 0.03%
iter 385: loss 1.8697, time 504.58ms, mfu 0.03%
iter 386: loss 1.8835, time 522.11ms, mfu 0.03%
iter 387: loss 1.9113, time 504.55ms, mfu 0.03%
iter 388: loss 1.9163, time 520.97ms, mfu 0.03%
iter 389: loss 1.9410, time 505.20ms, mfu 0.03%
