iter 162: loss 2.5515, time 64.75ms, mfu 0.02%
iter 163: loss 2.5169, time 61.58ms, mfu 0.02%
iter 164: loss 2.5715, time 78.87ms, mfu 0.02%
iter 165: loss 2.3917, time 73.26ms, mfu 0.02%
iter 166: loss 2.6200, time 52.69ms, mfu 0.02%
iter 167: loss 2.5099, time 78.99ms, mfu 0.02%
iter 168: loss 2.5155, time 63.02ms, mfu 0.02%
iter 169: loss 2.4940, time 62.98ms, mfu 0.02%
iter 170: loss 2.5056, time 78.56ms, mfu 0.02%
iter 171: loss 2.5118, time 62.89ms, mfu 0.02%
iter 172: loss 2.4559, time 64.71ms, mfu 0.02%
iter 173: loss 2.4881, time 76.95ms, mfu 0.02%
iter 174: loss 2.4038, time 62.88ms, mfu 0.02%
iter 175: loss 2.4107, time 63.13ms, mfu 0.02%
iter 176: loss 2.5177, time 80.00ms, mfu 0.02%
iter 177: loss 2.5037, time 62.39ms, mfu 0.02%
iter 178: loss 2.4292, time 63.60ms, mfu 0.02%
iter 179: loss 2.4724, time 78.75ms, mfu 0.02%
iter 180: loss 2.4796, time 63.05ms, mfu 0.02%
iter 181: loss 2.4929, time 68.08ms, mfu 0.02%
iter 182: loss 2.4763, time 64.70ms, mfu 0.02%
iter 183: loss 2.5201, time 73.93ms, mfu 0.02%
iter 184: loss 2.4800, time 61.22ms, mfu 0.02%
iter 185: loss 2.4515, time 62.90ms, mfu 0.02%
iter 186: loss 2.4678, time 78.67ms, mfu 0.02%
iter 187: loss 2.4507, time 66.26ms, mfu 0.02%
iter 188: loss 2.4978, time 59.58ms, mfu 0.02%
iter 189: loss 2.4729, time 78.53ms, mfu 0.02%
iter 190: loss 2.4626, time 62.88ms, mfu 0.02%
iter 191: loss 2.4345, time 78.45ms, mfu 0.02%
iter 192: loss 2.4962, time 65.96ms, mfu 0.02%
iter 193: loss 2.4736, time 59.69ms, mfu 0.02%
iter 194: loss 2.4067, time 79.10ms, mfu 0.02%
iter 195: loss 2.5388, time 70.23ms, mfu 0.02%
iter 196: loss 2.4299, time 56.15ms, mfu 0.02%
iter 197: loss 2.5030, time 78.77ms, mfu 0.02%
iter 198: loss 2.5000, time 67.57ms, mfu 0.02%
iter 199: loss 2.5394, time 74.65ms, mfu 0.02%
iter 200: loss 2.4940, time 67.02ms, mfu 0.02%
iter 201: loss 2.4405, time 74.87ms, mfu 0.02%
iter 202: loss 2.4139, time 47.86ms, mfu 0.02%
iter 203: loss 2.4221, time 63.74ms, mfu 0.02%
iter 204: loss 2.4784, time 79.87ms, mfu 0.02%
iter 205: loss 2.4722, time 64.12ms, mfu 0.02%
iter 206: loss 2.5537, time 64.16ms, mfu 0.02%
iter 207: loss 2.4051, time 63.98ms, mfu 0.02%
iter 208: loss 2.4898, time 48.38ms, mfu 0.02%
iter 209: loss 2.4944, time 63.75ms, mfu 0.02%
iter 210: loss 2.4590, time 63.95ms, mfu 0.02%
iter 211: loss 2.4995, time 47.57ms, mfu 0.02%
iter 212: loss 2.4630, time 63.73ms, mfu 0.02%
iter 213: loss 2.4921, time 63.98ms, mfu 0.02%
iter 214: loss 2.5087, time 47.81ms, mfu 0.02%
iter 215: loss 2.4696, time 63.25ms, mfu 0.02%
iter 216: loss 2.3767, time 48.33ms, mfu 0.02%
iter 217: loss 2.3941, time 63.56ms, mfu 0.02%
iter 218: loss 2.4020, time 63.65ms, mfu 0.02%
iter 219: loss 2.4067, time 47.50ms, mfu 0.02%
iter 220: loss 2.4407, time 63.89ms, mfu 0.02%
iter 221: loss 2.4204, time 47.63ms, mfu 0.02%
iter 222: loss 2.4698, time 63.61ms, mfu 0.02%
iter 223: loss 2.4150, time 63.70ms, mfu 0.02%
iter 224: loss 2.3457, time 47.49ms, mfu 0.02%
iter 225: loss 2.4369, time 63.81ms, mfu 0.02%
iter 226: loss 2.4749, time 47.93ms, mfu 0.02%
iter 227: loss 2.4237, time 66.77ms, mfu 0.02%
iter 228: loss 2.4024, time 61.08ms, mfu 0.02%
iter 229: loss 2.4414, time 47.22ms, mfu 0.02%
iter 230: loss 2.3833, time 63.63ms, mfu 0.02%
iter 231: loss 2.4589, time 63.28ms, mfu 0.02%
iter 232: loss 2.4322, time 47.22ms, mfu 0.02%
iter 233: loss 2.3752, time 63.43ms, mfu 0.02%
iter 234: loss 2.3792, time 47.90ms, mfu 0.02%
iter 235: loss 2.4295, time 63.77ms, mfu 0.02%
iter 236: loss 2.4168, time 47.97ms, mfu 0.02%
iter 237: loss 2.4804, time 63.96ms, mfu 0.02%
iter 238: loss 2.5058, time 63.24ms, mfu 0.02%
iter 239: loss 2.3800, time 63.39ms, mfu 0.02%
iter 240: loss 2.3808, time 48.12ms, mfu 0.02%
iter 241: loss 2.3984, time 63.96ms, mfu 0.02%
iter 242: loss 2.4990, time 47.95ms, mfu 0.02%
iter 243: loss 2.4958, time 63.66ms, mfu 0.02%
iter 244: loss 2.4157, time 47.37ms, mfu 0.02%
iter 245: loss 2.3994, time 63.03ms, mfu 0.02%
iter 246: loss 2.3607, time 63.32ms, mfu 0.02%
iter 247: loss 2.4125, time 63.62ms, mfu 0.02%
iter 248: loss 2.3732, time 47.36ms, mfu 0.02%
iter 249: loss 2.5183, time 63.36ms, mfu 0.02%
step 250: train loss 2.4011, val loss 2.4107
saving checkpoint to out-shakespeare-char
iter 250: loss 2.4040, time 4163.59ms, mfu 0.02%
iter 251: loss 2.3666, time 66.12ms, mfu 0.02%
iter 252: loss 2.3137, time 76.36ms, mfu 0.02%
iter 253: loss 2.4474, time 63.01ms, mfu 0.02%
iter 254: loss 2.3997, time 78.78ms, mfu 0.02%
iter 255: loss 2.4345, time 62.85ms, mfu 0.02%
iter 256: loss 2.3496, time 81.80ms, mfu 0.02%
iter 257: loss 2.4221, time 60.83ms, mfu 0.02%
iter 258: loss 2.3865, time 82.14ms, mfu 0.02%
iter 259: loss 2.4663, time 80.13ms, mfu 0.02%
iter 260: loss 2.3911, time 73.78ms, mfu 0.02%
iter 261: loss 2.4428, time 62.97ms, mfu 0.02%
iter 262: loss 2.3125, time 79.03ms, mfu 0.02%
iter 263: loss 2.4301, time 62.50ms, mfu 0.02%
iter 264: loss 2.4920, time 78.64ms, mfu 0.02%
iter 265: loss 2.4775, time 63.34ms, mfu 0.02%
iter 266: loss 2.3914, time 81.60ms, mfu 0.02%
iter 267: loss 2.4039, time 61.03ms, mfu 0.02%
iter 268: loss 2.5010, time 78.53ms, mfu 0.02%
iter 269: loss 2.3047, time 78.17ms, mfu 0.02%
iter 270: loss 2.3708, time 63.92ms, mfu 0.02%
iter 271: loss 2.3307, time 78.21ms, mfu 0.02%
iter 272: loss 2.4086, time 62.87ms, mfu 0.02%
iter 273: loss 2.4155, time 78.80ms, mfu 0.02%
iter 274: loss 2.4271, time 78.60ms, mfu 0.02%
iter 275: loss 2.4098, time 69.80ms, mfu 0.02%
iter 276: loss 2.3273, time 75.18ms, mfu 0.02%
iter 277: loss 2.4631, time 75.24ms, mfu 0.02%
iter 278: loss 2.4225, time 69.79ms, mfu 0.02%
iter 279: loss 2.4941, time 72.12ms, mfu 0.02%
iter 280: loss 2.3559, time 64.53ms, mfu 0.02%
iter 281: loss 2.3840, time 77.16ms, mfu 0.02%
iter 282: loss 2.4236, time 62.81ms, mfu 0.02%
iter 283: loss 2.4118, time 83.39ms, mfu 0.02%
