iter 141: loss 2.4119, time 457.53ms, mfu 0.09%
iter 142: loss 2.4872, time 458.04ms, mfu 0.09%
iter 143: loss 2.4384, time 475.07ms, mfu 0.09%
iter 144: loss 2.4256, time 442.52ms, mfu 0.09%
iter 145: loss 2.4544, time 475.10ms, mfu 0.09%
iter 146: loss 2.4008, time 457.99ms, mfu 0.09%
iter 147: loss 2.4030, time 473.05ms, mfu 0.09%
iter 148: loss 2.4276, time 473.19ms, mfu 0.09%
iter 149: loss 2.3902, time 490.57ms, mfu 0.09%
iter 150: loss 2.4098, time 474.16ms, mfu 0.09%
iter 151: loss 2.4133, time 459.50ms, mfu 0.09%
iter 152: loss 2.4696, time 459.94ms, mfu 0.09%
iter 153: loss 2.4400, time 475.13ms, mfu 0.09%
iter 154: loss 2.4574, time 458.76ms, mfu 0.09%
iter 155: loss 2.4885, time 442.89ms, mfu 0.09%
iter 156: loss 2.4335, time 456.65ms, mfu 0.09%
iter 157: loss 2.4374, time 444.07ms, mfu 0.09%
iter 158: loss 2.4266, time 443.51ms, mfu 0.09%
iter 159: loss 2.3971, time 444.54ms, mfu 0.09%
iter 160: loss 2.4054, time 444.36ms, mfu 0.09%
iter 161: loss 2.4166, time 457.92ms, mfu 0.09%
iter 162: loss 2.3963, time 457.46ms, mfu 0.09%
iter 163: loss 2.3585, time 442.22ms, mfu 0.09%
iter 164: loss 2.3708, time 458.88ms, mfu 0.09%
iter 165: loss 2.3848, time 443.61ms, mfu 0.09%
iter 166: loss 2.3881, time 456.81ms, mfu 0.09%
iter 167: loss 2.3682, time 442.44ms, mfu 0.09%
iter 168: loss 2.4129, time 458.91ms, mfu 0.09%
iter 169: loss 2.3980, time 470.61ms, mfu 0.09%
iter 170: loss 2.3921, time 463.63ms, mfu 0.09%
iter 171: loss 2.3814, time 456.82ms, mfu 0.09%
iter 172: loss 2.3797, time 444.59ms, mfu 0.09%
iter 173: loss 2.3476, time 458.36ms, mfu 0.09%
iter 174: loss 2.3639, time 441.42ms, mfu 0.09%
iter 175: loss 2.3505, time 459.00ms, mfu 0.09%
iter 176: loss 2.3468, time 441.39ms, mfu 0.09%
iter 177: loss 2.3677, time 444.53ms, mfu 0.09%
iter 178: loss 2.3572, time 458.38ms, mfu 0.09%
iter 179: loss 2.4153, time 460.09ms, mfu 0.09%
iter 180: loss 2.3754, time 441.43ms, mfu 0.09%
iter 181: loss 2.3501, time 462.82ms, mfu 0.09%
iter 182: loss 2.3922, time 452.95ms, mfu 0.09%
iter 183: loss 2.3593, time 458.77ms, mfu 0.09%
iter 184: loss 2.3687, time 445.55ms, mfu 0.09%
iter 185: loss 2.3551, time 440.28ms, mfu 0.09%
iter 186: loss 2.2965, time 442.35ms, mfu 0.09%
iter 187: loss 2.3502, time 442.59ms, mfu 0.09%
iter 188: loss 2.3768, time 458.96ms, mfu 0.09%
iter 189: loss 2.3607, time 460.05ms, mfu 0.09%
iter 190: loss 2.3386, time 473.50ms, mfu 0.09%
iter 191: loss 2.3522, time 458.55ms, mfu 0.09%
iter 192: loss 2.3787, time 459.59ms, mfu 0.09%
iter 193: loss 2.3389, time 451.89ms, mfu 0.09%
iter 194: loss 2.3612, time 449.72ms, mfu 0.09%
iter 195: loss 2.4002, time 460.48ms, mfu 0.09%
iter 196: loss 2.2774, time 458.42ms, mfu 0.09%
iter 197: loss 2.3453, time 442.90ms, mfu 0.09%
iter 198: loss 2.3157, time 444.42ms, mfu 0.09%
iter 199: loss 2.3360, time 444.69ms, mfu 0.09%
iter 200: loss 2.3716, time 458.30ms, mfu 0.09%
iter 201: loss 2.3013, time 456.85ms, mfu 0.09%
iter 202: loss 2.3425, time 443.62ms, mfu 0.09%
iter 203: loss 2.3198, time 457.20ms, mfu 0.09%
iter 204: loss 2.3063, time 445.54ms, mfu 0.09%
iter 205: loss 2.2973, time 458.31ms, mfu 0.09%
iter 206: loss 2.3339, time 442.32ms, mfu 0.09%
iter 207: loss 2.3181, time 442.35ms, mfu 0.09%
iter 208: loss 2.3250, time 458.01ms, mfu 0.09%
iter 209: loss 2.3450, time 443.26ms, mfu 0.09%
iter 210: loss 2.3481, time 457.98ms, mfu 0.09%
iter 211: loss 2.3462, time 459.31ms, mfu 0.09%
iter 212: loss 2.3039, time 441.38ms, mfu 0.09%
