iter 154: loss 2.3556, time 506.75ms, mfu 0.08%
iter 155: loss 2.3193, time 489.31ms, mfu 0.08%
iter 156: loss 2.3613, time 508.51ms, mfu 0.08%
iter 157: loss 2.3173, time 501.53ms, mfu 0.08%
iter 158: loss 2.3580, time 504.84ms, mfu 0.08%
iter 159: loss 2.3867, time 524.76ms, mfu 0.08%
iter 160: loss 2.3496, time 506.68ms, mfu 0.08%
iter 161: loss 2.3260, time 506.77ms, mfu 0.08%
iter 162: loss 2.3261, time 501.34ms, mfu 0.08%
iter 163: loss 2.3217, time 496.90ms, mfu 0.08%
iter 164: loss 2.3392, time 507.17ms, mfu 0.08%
iter 165: loss 2.3236, time 492.75ms, mfu 0.08%
iter 166: loss 2.3292, time 506.15ms, mfu 0.08%
iter 167: loss 2.3577, time 492.19ms, mfu 0.08%
iter 168: loss 2.3744, time 493.29ms, mfu 0.08%
iter 169: loss 2.2746, time 506.27ms, mfu 0.08%
iter 170: loss 2.3375, time 491.57ms, mfu 0.08%
iter 171: loss 2.3102, time 505.63ms, mfu 0.08%
iter 172: loss 2.3163, time 506.94ms, mfu 0.08%
iter 173: loss 2.3610, time 490.83ms, mfu 0.08%
iter 174: loss 2.3008, time 519.60ms, mfu 0.08%
iter 175: loss 2.2864, time 492.58ms, mfu 0.08%
iter 176: loss 2.2829, time 490.47ms, mfu 0.08%
iter 177: loss 2.3304, time 505.86ms, mfu 0.08%
iter 178: loss 2.3043, time 506.34ms, mfu 0.08%
iter 179: loss 2.3183, time 490.85ms, mfu 0.08%
iter 180: loss 2.3250, time 505.48ms, mfu 0.08%
iter 181: loss 2.2958, time 507.13ms, mfu 0.08%
iter 182: loss 2.3208, time 492.78ms, mfu 0.08%
iter 183: loss 2.2868, time 506.00ms, mfu 0.08%
iter 184: loss 2.2704, time 506.83ms, mfu 0.08%
iter 185: loss 2.3031, time 508.52ms, mfu 0.08%
iter 186: loss 2.2706, time 507.09ms, mfu 0.08%
iter 187: loss 2.2499, time 505.18ms, mfu 0.08%
iter 188: loss 2.2422, time 493.46ms, mfu 0.08%
iter 189: loss 2.2779, time 507.41ms, mfu 0.08%
iter 190: loss 2.2319, time 508.37ms, mfu 0.08%
iter 191: loss 2.2419, time 491.22ms, mfu 0.08%
iter 192: loss 2.2731, time 475.00ms, mfu 0.08%
iter 193: loss 2.2312, time 475.82ms, mfu 0.08%
iter 194: loss 2.2820, time 474.91ms, mfu 0.08%
iter 195: loss 2.2904, time 490.46ms, mfu 0.08%
iter 196: loss 2.2372, time 473.47ms, mfu 0.08%
iter 197: loss 2.2613, time 475.01ms, mfu 0.08%
iter 198: loss 2.2160, time 491.60ms, mfu 0.08%
iter 199: loss 2.2948, time 473.30ms, mfu 0.08%
iter 200: loss 2.2785, time 473.95ms, mfu 0.08%
iter 201: loss 2.3137, time 476.33ms, mfu 0.08%
iter 202: loss 2.1740, time 475.22ms, mfu 0.08%
iter 203: loss 2.2938, time 489.65ms, mfu 0.08%
iter 204: loss 2.2305, time 490.25ms, mfu 0.08%
iter 205: loss 2.2614, time 474.79ms, mfu 0.08%
iter 206: loss 2.1943, time 491.21ms, mfu 0.08%
iter 207: loss 2.2744, time 490.12ms, mfu 0.08%
iter 208: loss 2.2675, time 491.79ms, mfu 0.08%
iter 209: loss 2.2465, time 492.36ms, mfu 0.08%
iter 210: loss 2.2709, time 492.76ms, mfu 0.08%
iter 211: loss 2.2808, time 510.29ms, mfu 0.08%
iter 212: loss 2.2304, time 488.41ms, mfu 0.08%
iter 213: loss 2.2432, time 489.31ms, mfu 0.08%
iter 214: loss 2.2229, time 490.32ms, mfu 0.08%
iter 215: loss 2.2108, time 474.01ms, mfu 0.08%
