iter 264: loss 2.4906, time 238.95ms, mfu 0.01%
iter 265: loss 2.4820, time 222.07ms, mfu 0.01%
iter 266: loss 2.4054, time 238.43ms, mfu 0.01%
iter 267: loss 2.4410, time 270.44ms, mfu 0.01%
iter 268: loss 2.5023, time 222.78ms, mfu 0.01%
iter 269: loss 2.3198, time 222.00ms, mfu 0.01%
iter 270: loss 2.3754, time 252.75ms, mfu 0.01%
iter 271: loss 2.3468, time 237.73ms, mfu 0.01%
iter 272: loss 2.4123, time 270.29ms, mfu 0.01%
iter 273: loss 2.4227, time 244.25ms, mfu 0.01%
iter 274: loss 2.4357, time 136.78ms, mfu 0.01%
iter 275: loss 2.4059, time 193.70ms, mfu 0.01%
iter 276: loss 2.3233, time 239.62ms, mfu 0.01%
iter 277: loss 2.4743, time 256.10ms, mfu 0.01%
iter 278: loss 2.4240, time 239.14ms, mfu 0.01%
iter 279: loss 2.4976, time 254.81ms, mfu 0.01%
iter 280: loss 2.3669, time 254.45ms, mfu 0.01%
iter 281: loss 2.3770, time 239.45ms, mfu 0.01%
iter 282: loss 2.4412, time 239.70ms, mfu 0.01%
iter 283: loss 2.4101, time 239.01ms, mfu 0.01%
iter 284: loss 2.3739, time 257.02ms, mfu 0.01%
iter 285: loss 2.3912, time 206.57ms, mfu 0.01%
iter 286: loss 2.3202, time 189.36ms, mfu 0.01%
iter 287: loss 2.3612, time 205.76ms, mfu 0.01%
iter 288: loss 2.3983, time 238.61ms, mfu 0.01%
iter 289: loss 2.4052, time 254.66ms, mfu 0.01%
iter 290: loss 2.3745, time 239.17ms, mfu 0.01%
iter 291: loss 2.4100, time 238.11ms, mfu 0.01%
iter 292: loss 2.3392, time 143.28ms, mfu 0.01%
iter 293: loss 2.3333, time 238.46ms, mfu 0.01%
iter 294: loss 2.2759, time 238.97ms, mfu 0.01%
iter 295: loss 2.3922, time 174.84ms, mfu 0.01%
iter 296: loss 2.3745, time 190.70ms, mfu 0.01%
iter 297: loss 2.3523, time 190.77ms, mfu 0.01%
iter 298: loss 2.3536, time 222.26ms, mfu 0.01%
iter 299: loss 2.3743, time 266.05ms, mfu 0.01%
iter 300: loss 2.4835, time 241.84ms, mfu 0.01%
iter 301: loss 2.3835, time 205.56ms, mfu 0.01%
iter 302: loss 2.4131, time 142.64ms, mfu 0.01%
iter 303: loss 2.3739, time 237.59ms, mfu 0.01%
