iter 116: loss 2.5301, time 47.20ms, mfu 0.02%
iter 117: loss 2.5135, time 47.42ms, mfu 0.02%
iter 118: loss 2.5404, time 47.18ms, mfu 0.02%
iter 119: loss 2.5425, time 47.41ms, mfu 0.03%
iter 120: loss 2.5594, time 47.27ms, mfu 0.03%
iter 121: loss 2.5565, time 47.08ms, mfu 0.03%
iter 122: loss 2.5142, time 47.07ms, mfu 0.03%
iter 123: loss 2.5948, time 47.09ms, mfu 0.03%
iter 124: loss 2.4959, time 47.46ms, mfu 0.03%
iter 125: loss 2.6006, time 47.09ms, mfu 0.03%
iter 126: loss 2.6339, time 47.51ms, mfu 0.03%
iter 127: loss 2.4897, time 62.92ms, mfu 0.03%
iter 128: loss 2.5062, time 47.46ms, mfu 0.03%
iter 129: loss 2.5907, time 63.02ms, mfu 0.03%
iter 130: loss 2.5422, time 46.99ms, mfu 0.03%
iter 131: loss 2.4839, time 31.45ms, mfu 0.03%
iter 132: loss 2.4444, time 47.17ms, mfu 0.03%
iter 133: loss 2.5364, time 47.35ms, mfu 0.03%
iter 134: loss 2.5147, time 47.32ms, mfu 0.03%
iter 135: loss 2.5948, time 47.00ms, mfu 0.03%
iter 136: loss 2.5236, time 46.95ms, mfu 0.03%
iter 137: loss 2.5294, time 47.12ms, mfu 0.03%
iter 138: loss 2.4927, time 47.33ms, mfu 0.03%
iter 139: loss 2.4958, time 47.08ms, mfu 0.03%
iter 140: loss 2.5878, time 47.11ms, mfu 0.03%
iter 141: loss 2.5271, time 47.04ms, mfu 0.03%
iter 142: loss 2.5301, time 47.44ms, mfu 0.03%
iter 143: loss 2.5413, time 47.38ms, mfu 0.03%
iter 144: loss 2.4947, time 50.49ms, mfu 0.03%
iter 145: loss 2.5450, time 43.64ms, mfu 0.03%
iter 146: loss 2.5488, time 47.30ms, mfu 0.03%
iter 147: loss 2.5127, time 47.17ms, mfu 0.03%
iter 148: loss 2.5058, time 47.14ms, mfu 0.03%
iter 149: loss 2.5703, time 46.98ms, mfu 0.03%
iter 150: loss 2.4763, time 47.33ms, mfu 0.03%
iter 151: loss 2.4836, time 47.31ms, mfu 0.03%
iter 152: loss 2.4521, time 47.07ms, mfu 0.03%
iter 153: loss 2.5017, time 46.96ms, mfu 0.03%
iter 154: loss 2.4101, time 47.32ms, mfu 0.03%
iter 155: loss 2.5306, time 47.26ms, mfu 0.03%
iter 156: loss 2.4951, time 47.14ms, mfu 0.03%
iter 157: loss 2.4815, time 47.06ms, mfu 0.03%
iter 158: loss 2.4538, time 47.23ms, mfu 0.03%
iter 159: loss 2.4842, time 47.53ms, mfu 0.03%
iter 160: loss 2.4805, time 46.93ms, mfu 0.03%
iter 161: loss 2.4592, time 46.98ms, mfu 0.03%
iter 162: loss 2.5032, time 31.51ms, mfu 0.03%
iter 163: loss 2.4616, time 47.37ms, mfu 0.03%
iter 164: loss 2.4359, time 47.19ms, mfu 0.03%
iter 165: loss 2.4772, time 47.33ms, mfu 0.03%
iter 166: loss 2.4967, time 47.39ms, mfu 0.03%
iter 167: loss 2.4063, time 47.05ms, mfu 0.03%
iter 168: loss 2.4504, time 47.21ms, mfu 0.03%
iter 169: loss 2.5299, time 47.17ms, mfu 0.03%
iter 170: loss 2.4484, time 47.25ms, mfu 0.03%
iter 171: loss 2.5020, time 47.07ms, mfu 0.03%
iter 172: loss 2.4622, time 46.97ms, mfu 0.03%
iter 173: loss 2.4508, time 47.49ms, mfu 0.03%
iter 174: loss 2.5953, time 47.13ms, mfu 0.03%
iter 175: loss 2.5056, time 47.12ms, mfu 0.03%
iter 176: loss 2.5223, time 60.18ms, mfu 0.03%
