iter 165: loss 2.3941, time 1663.37ms, mfu 0.01%
iter 166: loss 2.3908, time 1678.78ms, mfu 0.01%
iter 167: loss 2.3963, time 1779.81ms, mfu 0.01%
iter 168: loss 2.3750, time 1639.74ms, mfu 0.01%
iter 169: loss 2.3999, time 1777.41ms, mfu 0.01%
iter 170: loss 2.3745, time 1689.28ms, mfu 0.01%
iter 171: loss 2.4172, time 1688.46ms, mfu 0.01%
iter 172: loss 2.4017, time 1709.18ms, mfu 0.01%
iter 173: loss 2.3914, time 1504.08ms, mfu 0.01%
iter 174: loss 2.3963, time 1781.16ms, mfu 0.01%
iter 175: loss 2.4200, time 1674.00ms, mfu 0.01%
iter 176: loss 2.3938, time 1685.17ms, mfu 0.01%
iter 177: loss 2.3784, time 1656.46ms, mfu 0.01%
iter 178: loss 2.3535, time 1613.79ms, mfu 0.01%
iter 179: loss 2.3583, time 1639.75ms, mfu 0.01%
iter 180: loss 2.3685, time 1785.01ms, mfu 0.01%
iter 181: loss 2.3394, time 1709.36ms, mfu 0.01%
iter 182: loss 2.4077, time 1695.99ms, mfu 0.01%
iter 183: loss 2.4133, time 1720.59ms, mfu 0.01%
iter 184: loss 2.3869, time 1434.29ms, mfu 0.01%
iter 185: loss 2.3343, time 1739.63ms, mfu 0.01%
iter 186: loss 2.4015, time 1716.58ms, mfu 0.01%
iter 187: loss 2.3616, time 1633.67ms, mfu 0.01%
iter 188: loss 2.3870, time 1630.10ms, mfu 0.01%
iter 189: loss 2.3235, time 1703.54ms, mfu 0.01%
iter 190: loss 2.3656, time 1521.51ms, mfu 0.01%
iter 191: loss 2.3433, time 1783.48ms, mfu 0.01%
iter 192: loss 2.3461, time 1732.69ms, mfu 0.01%
iter 193: loss 2.3536, time 1686.64ms, mfu 0.01%
iter 194: loss 2.4008, time 1715.68ms, mfu 0.01%
iter 195: loss 2.2975, time 1459.31ms, mfu 0.01%
iter 196: loss 2.3542, time 1828.73ms, mfu 0.01%
iter 197: loss 2.3580, time 1771.40ms, mfu 0.01%
iter 198: loss 2.3652, time 1711.85ms, mfu 0.01%
iter 199: loss 2.3588, time 1691.95ms, mfu 0.01%
iter 200: loss 2.3359, time 1724.07ms, mfu 0.01%
iter 201: loss 2.3740, time 1675.30ms, mfu 0.01%
iter 202: loss 2.3316, time 1732.75ms, mfu 0.01%
iter 203: loss 2.3443, time 1656.31ms, mfu 0.01%
iter 204: loss 2.3283, time 1653.07ms, mfu 0.01%
iter 205: loss 2.3421, time 1707.30ms, mfu 0.01%
iter 206: loss 2.3290, time 1476.27ms, mfu 0.01%
iter 207: loss 2.2872, time 1753.51ms, mfu 0.01%
iter 208: loss 2.3556, time 1677.63ms, mfu 0.01%
iter 209: loss 2.2874, time 1685.69ms, mfu 0.01%
iter 210: loss 2.3069, time 1765.29ms, mfu 0.01%
iter 211: loss 2.3217, time 1724.00ms, mfu 0.01%
iter 212: loss 2.3082, time 1717.56ms, mfu 0.01%
iter 213: loss 2.3546, time 1742.43ms, mfu 0.01%
iter 214: loss 2.3962, time 1609.37ms, mfu 0.01%
iter 215: loss 2.3321, time 1727.55ms, mfu 0.01%
iter 216: loss 2.3390, time 1765.87ms, mfu 0.01%
iter 217: loss 2.3433, time 1591.00ms, mfu 0.01%
iter 218: loss 2.3049, time 1769.07ms, mfu 0.01%
iter 219: loss 2.3240, time 1710.56ms, mfu 0.01%
iter 220: loss 2.2716, time 1665.36ms, mfu 0.01%
iter 221: loss 2.3031, time 1706.30ms, mfu 0.01%
iter 222: loss 2.3265, time 1643.02ms, mfu 0.01%
iter 223: loss 2.2703, time 1647.61ms, mfu 0.01%
iter 224: loss 2.2978, time 1755.25ms, mfu 0.01%
iter 225: loss 2.3201, time 1700.61ms, mfu 0.01%
iter 226: loss 2.2784, time 1673.62ms, mfu 0.01%
iter 227: loss 2.3211, time 1693.59ms, mfu 0.01%
iter 228: loss 2.2786, time 1502.18ms, mfu 0.01%
iter 229: loss 2.2775, time 1758.33ms, mfu 0.01%
iter 230: loss 2.2984, time 1732.89ms, mfu 0.01%
iter 231: loss 2.2688, time 1641.95ms, mfu 0.01%
iter 232: loss 2.2867, time 1653.49ms, mfu 0.01%
iter 233: loss 2.3103, time 1701.48ms, mfu 0.01%
iter 234: loss 2.3250, time 1659.52ms, mfu 0.01%
iter 235: loss 2.2748, time 1759.40ms, mfu 0.01%
iter 236: loss 2.2882, time 1635.23ms, mfu 0.01%
iter 237: loss 2.2739, time 1675.97ms, mfu 0.01%
iter 238: loss 2.3203, time 1686.36ms, mfu 0.01%
iter 239: loss 2.2763, time 1440.50ms, mfu 0.01%
iter 240: loss 2.2596, time 1709.45ms, mfu 0.01%
iter 241: loss 2.2509, time 1686.73ms, mfu 0.01%
iter 242: loss 2.2387, time 1647.08ms, mfu 0.01%
iter 243: loss 2.2568, time 1690.50ms, mfu 0.01%
iter 244: loss 2.2705, time 1645.50ms, mfu 0.01%
iter 245: loss 2.3003, time 1583.07ms, mfu 0.01%
iter 246: loss 2.3099, time 1747.16ms, mfu 0.01%
iter 247: loss 2.3023, time 1760.83ms, mfu 0.01%
iter 248: loss 2.3019, time 1687.11ms, mfu 0.01%
iter 249: loss 2.3116, time 1681.60ms, mfu 0.01%
step 250: train loss 2.2847, val loss 2.3070
saving checkpoint to out-shakespeare-char
iter 250: loss 2.3314, time 104043.30ms, mfu 0.01%
iter 251: loss 2.2855, time 1692.35ms, mfu 0.01%
iter 252: loss 2.2707, time 1451.18ms, mfu 0.01%
iter 253: loss 2.3020, time 1759.31ms, mfu 0.01%
iter 254: loss 2.2591, time 1733.04ms, mfu 0.01%
iter 255: loss 2.2718, time 1690.54ms, mfu 0.01%
iter 256: loss 2.2335, time 1686.84ms, mfu 0.01%
iter 257: loss 2.2328, time 1717.37ms, mfu 0.01%
iter 258: loss 2.2549, time 1524.76ms, mfu 0.01%
iter 259: loss 2.2876, time 1812.65ms, mfu 0.01%
iter 260: loss 2.2962, time 1696.44ms, mfu 0.01%
iter 261: loss 2.2285, time 1726.26ms, mfu 0.01%
iter 262: loss 2.2401, time 1653.32ms, mfu 0.01%
iter 263: loss 2.1910, time 1474.79ms, mfu 0.01%
iter 264: loss 2.2790, time 1799.98ms, mfu 0.01%
iter 265: loss 2.2317, time 1834.61ms, mfu 0.01%
iter 266: loss 2.2542, time 1688.21ms, mfu 0.01%
iter 267: loss 2.2717, time 1708.67ms, mfu 0.01%
iter 268: loss 2.2682, time 1695.90ms, mfu 0.01%
iter 269: loss 2.2295, time 1481.63ms, mfu 0.01%
iter 270: loss 2.2763, time 1791.36ms, mfu 0.01%
iter 271: loss 2.2394, time 1711.16ms, mfu 0.01%
iter 272: loss 2.2356, time 1707.27ms, mfu 0.01%
iter 273: loss 2.2908, time 1660.56ms, mfu 0.01%
iter 274: loss 2.2544, time 1458.77ms, mfu 0.01%
iter 275: loss 2.2188, time 1774.51ms, mfu 0.01%
iter 276: loss 2.2638, time 1718.46ms, mfu 0.01%
iter 277: loss 2.2943, time 1674.02ms, mfu 0.01%
iter 278: loss 2.2342, time 1688.54ms, mfu 0.01%
iter 279: loss 2.2365, time 1683.03ms, mfu 0.01%
iter 280: loss 2.2693, time 1541.04ms, mfu 0.01%
iter 281: loss 2.2643, time 1828.65ms, mfu 0.01%
iter 282: loss 2.2546, time 1801.30ms, mfu 0.01%
iter 283: loss 2.2550, time 1743.57ms, mfu 0.01%
iter 284: loss 2.2396, time 1749.03ms, mfu 0.01%
iter 285: loss 2.2366, time 1651.81ms, mfu 0.01%
iter 286: loss 2.2928, time 1931.42ms, mfu 0.01%
iter 287: loss 2.1824, time 2048.02ms, mfu 0.01%
iter 288: loss 2.1888, time 1963.95ms, mfu 0.01%
iter 289: loss 2.2103, time 1918.05ms, mfu 0.01%
iter 290: loss 2.2384, time 1624.09ms, mfu 0.01%
iter 291: loss 2.2663, time 2024.28ms, mfu 0.01%
iter 292: loss 2.1913, time 1943.81ms, mfu 0.01%
iter 293: loss 2.2359, time 1024.41ms, mfu 0.01%
iter 294: loss 2.2216, time 604.37ms, mfu 0.01%
iter 295: loss 2.2218, time 549.94ms, mfu 0.01%
iter 296: loss 2.1510, time 556.17ms, mfu 0.02%
iter 297: loss 2.2308, time 575.05ms, mfu 0.02%
iter 298: loss 2.2236, time 564.21ms, mfu 0.02%
iter 299: loss 2.2265, time 634.48ms, mfu 0.02%
iter 300: loss 2.1771, time 535.75ms, mfu 0.02%
iter 301: loss 2.2073, time 570.43ms, mfu 0.02%
iter 302: loss 2.2311, time 608.22ms, mfu 0.02%
iter 303: loss 2.1868, time 585.50ms, mfu 0.02%
iter 304: loss 2.2045, time 519.44ms, mfu 0.02%
iter 305: loss 2.1911, time 579.00ms, mfu 0.02%
iter 306: loss 2.2216, time 577.79ms, mfu 0.03%
iter 307: loss 2.2275, time 582.71ms, mfu 0.03%
iter 308: loss 2.2303, time 571.32ms, mfu 0.03%
iter 309: loss 2.2239, time 558.67ms, mfu 0.03%
iter 310: loss 2.1842, time 616.03ms, mfu 0.03%
iter 311: loss 2.2515, time 620.13ms, mfu 0.03%
iter 312: loss 2.1871, time 601.59ms, mfu 0.03%
iter 313: loss 2.2149, time 506.38ms, mfu 0.03%
iter 314: loss 2.1759, time 583.76ms, mfu 0.03%
iter 315: loss 2.2242, time 625.17ms, mfu 0.03%
iter 316: loss 2.2074, time 558.34ms, mfu 0.03%
iter 317: loss 2.1921, time 479.66ms, mfu 0.03%
iter 318: loss 2.1764, time 494.57ms, mfu 0.03%
iter 319: loss 2.1780, time 495.29ms, mfu 0.03%
iter 320: loss 2.1887, time 532.02ms, mfu 0.03%
iter 321: loss 2.1872, time 558.37ms, mfu 0.03%
iter 322: loss 2.1673, time 523.09ms, mfu 0.03%
iter 323: loss 2.1994, time 485.50ms, mfu 0.03%
iter 324: loss 2.1673, time 525.45ms, mfu 0.03%
iter 325: loss 2.1974, time 554.14ms, mfu 0.03%
iter 326: loss 2.1878, time 565.17ms, mfu 0.03%
iter 327: loss 2.1213, time 576.88ms, mfu 0.03%
iter 328: loss 2.1401, time 526.49ms, mfu 0.03%
iter 329: loss 2.2314, time 530.27ms, mfu 0.03%
iter 330: loss 2.2147, time 556.84ms, mfu 0.03%
iter 331: loss 2.1785, time 1348.45ms, mfu 0.03%
iter 332: loss 2.1648, time 1948.53ms, mfu 0.03%
iter 333: loss 2.1235, time 1975.96ms, mfu 0.03%
iter 334: loss 2.1403, time 1863.57ms, mfu 0.02%
iter 335: loss 2.1417, time 2126.58ms, mfu 0.02%
iter 336: loss 2.1388, time 1935.51ms, mfu 0.02%
iter 337: loss 2.1292, time 1927.28ms, mfu 0.02%
iter 338: loss 2.1492, time 1911.97ms, mfu 0.02%
iter 339: loss 2.1361, time 1621.88ms, mfu 0.02%
iter 340: loss 2.1308, time 2069.04ms, mfu 0.02%
iter 341: loss 2.1549, time 2381.92ms, mfu 0.02%
iter 342: loss 2.0890, time 2072.52ms, mfu 0.02%
iter 343: loss 2.1605, time 2082.93ms, mfu 0.01%
iter 344: loss 2.1390, time 1689.93ms, mfu 0.01%
iter 345: loss 2.1610, time 2086.28ms, mfu 0.01%
iter 346: loss 2.1259, time 2066.00ms, mfu 0.01%
iter 347: loss 2.1622, time 2027.67ms, mfu 0.01%
iter 348: loss 2.1519, time 1978.77ms, mfu 0.01%
iter 349: loss 2.0980, time 1725.68ms, mfu 0.01%
iter 350: loss 2.1725, time 2121.70ms, mfu 0.01%
iter 351: loss 2.1071, time 2097.17ms, mfu 0.01%
iter 352: loss 2.1392, time 1940.87ms, mfu 0.01%
iter 353: loss 2.0892, time 1913.00ms, mfu 0.01%
iter 354: loss 2.0894, time 2000.19ms, mfu 0.01%
iter 355: loss 2.1405, time 1965.26ms, mfu 0.01%
iter 356: loss 2.1144, time 1960.03ms, mfu 0.01%
iter 357: loss 2.0939, time 1912.93ms, mfu 0.01%
iter 358: loss 2.1072, time 1841.47ms, mfu 0.01%
iter 359: loss 2.1423, time 1775.12ms, mfu 0.01%
iter 360: loss 2.0830, time 1580.97ms, mfu 0.01%
iter 361: loss 2.1316, time 1901.17ms, mfu 0.01%
iter 362: loss 2.0869, time 1797.37ms, mfu 0.01%
iter 363: loss 2.0513, time 1772.50ms, mfu 0.01%
iter 364: loss 2.1402, time 1780.70ms, mfu 0.01%
iter 365: loss 2.0773, time 1526.49ms, mfu 0.01%
iter 366: loss 2.0954, time 1874.76ms, mfu 0.01%
iter 367: loss 2.1046, time 1810.48ms, mfu 0.01%
iter 368: loss 2.1450, time 1727.52ms, mfu 0.01%
iter 369: loss 2.0849, time 1754.68ms, mfu 0.01%
iter 370: loss 2.0809, time 1541.56ms, mfu 0.01%
iter 371: loss 2.1237, time 1836.77ms, mfu 0.01%
iter 372: loss 2.0422, time 1828.21ms, mfu 0.01%
iter 373: loss 2.0793, time 1782.09ms, mfu 0.01%
iter 374: loss 2.0396, time 1760.27ms, mfu 0.01%
iter 375: loss 2.1105, time 1652.66ms, mfu 0.01%
iter 376: loss 2.0517, time 1776.68ms, mfu 0.01%
iter 377: loss 2.1287, time 1838.35ms, mfu 0.01%
iter 378: loss 2.0659, time 1806.24ms, mfu 0.01%
iter 379: loss 2.0435, time 1729.57ms, mfu 0.01%
iter 380: loss 2.1162, time 1785.09ms, mfu 0.01%
iter 381: loss 2.0703, time 1532.85ms, mfu 0.01%
iter 382: loss 2.0497, time 1834.47ms, mfu 0.01%
iter 383: loss 2.0532, time 1849.01ms, mfu 0.01%
iter 384: loss 2.0701, time 1962.35ms, mfu 0.01%
iter 385: loss 2.1309, time 1762.16ms, mfu 0.01%
iter 386: loss 2.0650, time 1528.80ms, mfu 0.01%
iter 387: loss 2.0886, time 1895.11ms, mfu 0.01%
iter 388: loss 2.1000, time 1775.93ms, mfu 0.01%
iter 389: loss 2.0657, time 1770.53ms, mfu 0.01%
iter 390: loss 2.0680, time 1824.49ms, mfu 0.01%
iter 391: loss 2.0337, time 1584.50ms, mfu 0.01%
iter 392: loss 2.0260, time 1865.80ms, mfu 0.01%
iter 393: loss 2.1202, time 1811.22ms, mfu 0.01%
iter 394: loss 2.0600, time 1718.60ms, mfu 0.01%
iter 395: loss 2.0879, time 1755.66ms, mfu 0.01%
