iter 211: loss 2.4016, time 31.43ms, mfu 0.03%
iter 212: loss 2.3851, time 47.13ms, mfu 0.03%
iter 213: loss 2.4951, time 31.41ms, mfu 0.03%
iter 214: loss 2.4464, time 46.98ms, mfu 0.03%
iter 215: loss 2.4695, time 37.45ms, mfu 0.03%
iter 216: loss 2.4117, time 25.48ms, mfu 0.04%
iter 217: loss 2.3829, time 47.15ms, mfu 0.03%
iter 218: loss 2.4231, time 62.90ms, mfu 0.03%
iter 219: loss 2.4957, time 31.51ms, mfu 0.03%
iter 220: loss 2.4419, time 47.04ms, mfu 0.03%
iter 221: loss 2.5010, time 31.99ms, mfu 0.03%
iter 222: loss 2.5292, time 31.36ms, mfu 0.03%
iter 223: loss 2.4880, time 53.31ms, mfu 0.03%
iter 224: loss 2.4495, time 41.49ms, mfu 0.03%
iter 225: loss 2.4430, time 31.68ms, mfu 0.03%
iter 226: loss 2.3980, time 31.47ms, mfu 0.03%
iter 227: loss 2.4278, time 47.15ms, mfu 0.03%
iter 228: loss 2.4621, time 31.66ms, mfu 0.03%
iter 229: loss 2.4703, time 31.36ms, mfu 0.04%
iter 230: loss 2.4519, time 47.26ms, mfu 0.03%
iter 231: loss 2.4738, time 31.54ms, mfu 0.03%
iter 232: loss 2.4496, time 31.50ms, mfu 0.04%
iter 233: loss 2.4373, time 47.26ms, mfu 0.03%
iter 234: loss 2.4656, time 31.85ms, mfu 0.04%
iter 235: loss 2.4782, time 31.47ms, mfu 0.04%
iter 236: loss 2.4646, time 47.51ms, mfu 0.03%
iter 237: loss 2.3756, time 47.49ms, mfu 0.03%
iter 238: loss 2.4080, time 47.01ms, mfu 0.03%
iter 239: loss 2.4268, time 31.67ms, mfu 0.03%
iter 240: loss 2.4898, time 46.99ms, mfu 0.03%
iter 241: loss 2.4500, time 31.89ms, mfu 0.03%
iter 242: loss 2.4063, time 31.33ms, mfu 0.03%
iter 243: loss 2.4336, time 47.02ms, mfu 0.03%
iter 244: loss 2.4201, time 31.62ms, mfu 0.03%
iter 245: loss 2.4203, time 31.41ms, mfu 0.04%
iter 246: loss 2.3888, time 47.15ms, mfu 0.03%
iter 247: loss 2.4623, time 33.34ms, mfu 0.03%
iter 248: loss 2.3726, time 45.11ms, mfu 0.03%
iter 249: loss 2.4415, time 37.18ms, mfu 0.03%
step 250: train loss 2.4424, val loss 2.4313
saving checkpoint to out-shakespeare-char
iter 250: loss 2.4157, time 2230.37ms, mfu 0.03%
iter 251: loss 2.3966, time 47.21ms, mfu 0.03%
iter 252: loss 2.4994, time 31.92ms, mfu 0.03%
iter 253: loss 2.4610, time 62.88ms, mfu 0.03%
iter 254: loss 2.4417, time 47.02ms, mfu 0.03%
iter 255: loss 2.3850, time 31.44ms, mfu 0.03%
iter 256: loss 2.3954, time 47.42ms, mfu 0.03%
iter 257: loss 2.4583, time 47.31ms, mfu 0.03%
iter 258: loss 2.4211, time 47.08ms, mfu 0.03%
iter 259: loss 2.4287, time 47.29ms, mfu 0.03%
iter 260: loss 2.4248, time 31.40ms, mfu 0.03%
iter 261: loss 2.3866, time 47.63ms, mfu 0.03%
iter 262: loss 2.4456, time 47.30ms, mfu 0.03%
iter 263: loss 2.4643, time 46.93ms, mfu 0.03%
iter 264: loss 2.4062, time 47.34ms, mfu 0.03%
iter 265: loss 2.4827, time 47.21ms, mfu 0.03%
iter 266: loss 2.3975, time 56.92ms, mfu 0.03%
iter 267: loss 2.4573, time 37.58ms, mfu 0.03%
iter 268: loss 2.4326, time 52.81ms, mfu 0.03%
iter 269: loss 2.3714, time 41.53ms, mfu 0.03%
iter 270: loss 2.4630, time 47.16ms, mfu 0.03%
iter 271: loss 2.4468, time 47.42ms, mfu 0.03%
iter 272: loss 2.4154, time 47.20ms, mfu 0.03%
iter 273: loss 2.4480, time 47.21ms, mfu 0.03%
iter 274: loss 2.4182, time 31.60ms, mfu 0.03%
iter 275: loss 2.4066, time 57.37ms, mfu 0.03%
iter 276: loss 2.4980, time 37.68ms, mfu 0.03%
iter 277: loss 2.3717, time 47.24ms, mfu 0.03%
iter 278: loss 2.4846, time 47.13ms, mfu 0.03%
iter 279: loss 2.3866, time 47.19ms, mfu 0.03%
iter 280: loss 2.3820, time 31.31ms, mfu 0.03%
iter 281: loss 2.4740, time 47.56ms, mfu 0.03%
iter 282: loss 2.3406, time 47.37ms, mfu 0.03%
iter 283: loss 2.4391, time 47.24ms, mfu 0.03%
iter 284: loss 2.3992, time 62.78ms, mfu 0.03%
iter 285: loss 2.4358, time 47.10ms, mfu 0.03%
iter 286: loss 2.4170, time 62.78ms, mfu 0.03%
iter 287: loss 2.4284, time 48.24ms, mfu 0.03%
iter 288: loss 2.5538, time 46.37ms, mfu 0.03%
iter 289: loss 2.4133, time 52.97ms, mfu 0.03%
iter 290: loss 2.4183, time 57.52ms, mfu 0.03%
iter 291: loss 2.4861, time 47.69ms, mfu 0.03%
iter 292: loss 2.3921, time 47.36ms, mfu 0.03%
iter 293: loss 2.3991, time 63.34ms, mfu 0.03%
iter 294: loss 2.3253, time 47.34ms, mfu 0.03%
iter 295: loss 2.3584, time 63.25ms, mfu 0.03%
iter 296: loss 2.3500, time 47.33ms, mfu 0.03%
iter 297: loss 2.3662, time 62.68ms, mfu 0.02%
iter 298: loss 2.4105, time 63.40ms, mfu 0.02%
iter 299: loss 2.4442, time 47.22ms, mfu 0.02%
iter 300: loss 2.3420, time 47.59ms, mfu 0.02%
iter 301: loss 2.4046, time 78.85ms, mfu 0.02%
iter 302: loss 2.3191, time 47.34ms, mfu 0.02%
iter 303: loss 2.3705, time 47.73ms, mfu 0.02%
iter 304: loss 2.4332, time 63.63ms, mfu 0.02%
iter 305: loss 2.3987, time 47.38ms, mfu 0.02%
iter 306: loss 2.4349, time 47.00ms, mfu 0.02%
iter 307: loss 2.4142, time 63.42ms, mfu 0.02%
iter 308: loss 2.3786, time 47.28ms, mfu 0.02%
