iter 141: loss 2.6089, time 401.37ms, mfu 0.00%
iter 142: loss 2.5306, time 351.25ms, mfu 0.00%
iter 143: loss 2.5138, time 346.39ms, mfu 0.00%
iter 144: loss 2.5770, time 190.68ms, mfu 0.00%
iter 145: loss 2.6021, time 430.11ms, mfu 0.00%
iter 146: loss 2.5339, time 320.42ms, mfu 0.00%
iter 147: loss 2.4858, time 242.12ms, mfu 0.00%
iter 148: loss 2.6478, time 152.45ms, mfu 0.00%
iter 149: loss 2.5726, time 299.61ms, mfu 0.00%
iter 150: loss 2.5042, time 320.24ms, mfu 0.00%
iter 151: loss 2.5839, time 349.34ms, mfu 0.00%
iter 152: loss 2.5448, time 386.80ms, mfu 0.00%
iter 153: loss 2.4925, time 294.59ms, mfu 0.00%
iter 154: loss 2.5059, time 315.36ms, mfu 0.00%
iter 155: loss 2.4939, time 430.95ms, mfu 0.00%
iter 156: loss 2.5137, time 311.29ms, mfu 0.00%
iter 157: loss 2.5268, time 415.87ms, mfu 0.00%
iter 158: loss 2.4633, time 441.60ms, mfu 0.00%
iter 159: loss 2.4510, time 367.75ms, mfu 0.00%
iter 160: loss 2.4676, time 369.15ms, mfu 0.00%
iter 161: loss 2.5573, time 317.55ms, mfu 0.00%
iter 162: loss 2.5323, time 267.27ms, mfu 0.00%
iter 163: loss 2.4863, time 447.48ms, mfu 0.00%
iter 164: loss 2.5212, time 414.43ms, mfu 0.00%
iter 165: loss 2.5607, time 217.23ms, mfu 0.00%
iter 166: loss 2.5595, time 296.80ms, mfu 0.00%
iter 167: loss 2.5129, time 417.64ms, mfu 0.00%
iter 168: loss 2.5206, time 298.65ms, mfu 0.00%
iter 169: loss 2.4751, time 350.56ms, mfu 0.00%
iter 170: loss 2.5055, time 397.02ms, mfu 0.00%
iter 171: loss 2.4142, time 283.95ms, mfu 0.00%
iter 172: loss 2.4694, time 394.16ms, mfu 0.00%
iter 173: loss 2.4819, time 373.69ms, mfu 0.00%
iter 174: loss 2.4033, time 277.13ms, mfu 0.00%
iter 175: loss 2.5267, time 195.41ms, mfu 0.00%
iter 176: loss 2.4168, time 183.04ms, mfu 0.00%
iter 177: loss 2.4573, time 344.15ms, mfu 0.00%
iter 178: loss 2.4730, time 311.08ms, mfu 0.00%
iter 179: loss 2.4731, time 404.72ms, mfu 0.00%
iter 180: loss 2.4154, time 361.35ms, mfu 0.00%
iter 181: loss 2.3679, time 401.92ms, mfu 0.00%
iter 182: loss 2.5302, time 421.23ms, mfu 0.00%
