iter 385: loss 2.3270, time 87.40ms, mfu 0.01%
iter 386: loss 2.3254, time 78.28ms, mfu 0.01%
iter 387: loss 2.4368, time 94.05ms, mfu 0.01%
iter 388: loss 2.4280, time 94.15ms, mfu 0.01%
iter 389: loss 2.3329, time 93.96ms, mfu 0.01%
iter 390: loss 2.3040, time 94.05ms, mfu 0.01%
iter 391: loss 2.3852, time 94.62ms, mfu 0.01%
iter 392: loss 2.3895, time 82.59ms, mfu 0.01%
iter 393: loss 2.3544, time 90.02ms, mfu 0.01%
iter 394: loss 2.3887, time 94.13ms, mfu 0.01%
iter 395: loss 2.4495, time 94.06ms, mfu 0.01%
iter 396: loss 2.4557, time 79.21ms, mfu 0.01%
iter 397: loss 2.4136, time 94.45ms, mfu 0.01%
iter 398: loss 2.3747, time 94.48ms, mfu 0.01%
iter 399: loss 2.3002, time 78.84ms, mfu 0.01%
iter 400: loss 2.3404, time 99.13ms, mfu 0.01%
iter 401: loss 2.4246, time 89.28ms, mfu 0.01%
iter 402: loss 2.3797, time 93.94ms, mfu 0.01%
iter 403: loss 2.3294, time 94.16ms, mfu 0.01%
iter 404: loss 2.3661, time 78.76ms, mfu 0.01%
iter 405: loss 2.3547, time 94.31ms, mfu 0.01%
iter 406: loss 2.3462, time 84.42ms, mfu 0.01%
iter 407: loss 2.3040, time 74.77ms, mfu 0.01%
iter 408: loss 2.3856, time 92.07ms, mfu 0.01%
iter 409: loss 2.3664, time 93.76ms, mfu 0.01%
iter 410: loss 2.2699, time 84.29ms, mfu 0.01%
iter 411: loss 2.2729, time 88.49ms, mfu 0.01%
iter 412: loss 2.3366, time 78.34ms, mfu 0.01%
iter 413: loss 2.3927, time 94.15ms, mfu 0.01%
iter 414: loss 2.3944, time 78.63ms, mfu 0.01%
iter 415: loss 2.2482, time 94.71ms, mfu 0.01%
iter 416: loss 2.2864, time 80.34ms, mfu 0.01%
iter 417: loss 2.4069, time 76.29ms, mfu 0.01%
iter 418: loss 2.4006, time 94.41ms, mfu 0.01%
iter 419: loss 2.4083, time 78.52ms, mfu 0.01%
iter 420: loss 2.2742, time 94.22ms, mfu 0.01%
iter 421: loss 2.2841, time 78.60ms, mfu 0.01%
iter 422: loss 2.4214, time 93.95ms, mfu 0.01%
iter 423: loss 2.3686, time 78.50ms, mfu 0.01%
iter 424: loss 2.2606, time 78.31ms, mfu 0.02%
iter 425: loss 2.3061, time 94.15ms, mfu 0.01%
iter 426: loss 2.3845, time 94.40ms, mfu 0.01%
iter 427: loss 2.2793, time 78.41ms, mfu 0.01%
iter 428: loss 2.2917, time 78.55ms, mfu 0.02%
iter 429: loss 2.3410, time 94.25ms, mfu 0.01%
