iter 175: loss 2.4982, time 47.37ms, mfu 0.03%
iter 176: loss 2.3920, time 31.86ms, mfu 0.03%
iter 177: loss 2.4461, time 47.65ms, mfu 0.03%
iter 178: loss 2.4301, time 48.03ms, mfu 0.03%
iter 179: loss 2.4674, time 47.51ms, mfu 0.03%
iter 180: loss 2.3948, time 47.26ms, mfu 0.03%
iter 181: loss 2.3521, time 47.83ms, mfu 0.03%
iter 182: loss 2.5237, time 47.11ms, mfu 0.03%
iter 183: loss 2.4742, time 46.92ms, mfu 0.03%
iter 184: loss 2.5516, time 47.48ms, mfu 0.03%
iter 185: loss 2.4929, time 47.23ms, mfu 0.03%
iter 186: loss 2.4364, time 68.71ms, mfu 0.03%
iter 187: loss 2.4260, time 52.43ms, mfu 0.03%
iter 188: loss 2.5036, time 44.77ms, mfu 0.03%
iter 189: loss 2.4939, time 51.80ms, mfu 0.03%
iter 190: loss 2.4238, time 47.29ms, mfu 0.03%
iter 191: loss 2.4737, time 66.91ms, mfu 0.03%
iter 192: loss 2.5153, time 52.62ms, mfu 0.03%
iter 193: loss 2.5077, time 52.33ms, mfu 0.03%
iter 194: loss 2.5665, time 53.14ms, mfu 0.03%
iter 195: loss 2.5059, time 54.35ms, mfu 0.03%
iter 196: loss 2.5172, time 51.69ms, mfu 0.03%
iter 197: loss 2.3961, time 47.36ms, mfu 0.03%
iter 198: loss 2.4494, time 47.34ms, mfu 0.03%
iter 199: loss 2.4832, time 47.50ms, mfu 0.03%
iter 200: loss 2.4641, time 47.17ms, mfu 0.03%
iter 201: loss 2.4483, time 60.59ms, mfu 0.03%
iter 202: loss 2.4535, time 34.62ms, mfu 0.03%
iter 203: loss 2.4784, time 47.10ms, mfu 0.03%
iter 204: loss 2.4795, time 47.45ms, mfu 0.03%
iter 205: loss 2.4430, time 47.20ms, mfu 0.03%
iter 206: loss 2.5571, time 47.20ms, mfu 0.03%
iter 207: loss 2.4001, time 47.16ms, mfu 0.03%
iter 208: loss 2.4512, time 47.32ms, mfu 0.03%
iter 209: loss 2.4037, time 58.16ms, mfu 0.03%
iter 210: loss 2.4058, time 47.32ms, mfu 0.03%
iter 211: loss 2.4608, time 47.20ms, mfu 0.03%
iter 212: loss 2.4022, time 47.10ms, mfu 0.03%
iter 213: loss 2.5064, time 31.76ms, mfu 0.03%
iter 214: loss 2.4483, time 62.98ms, mfu 0.03%
iter 215: loss 2.4582, time 31.79ms, mfu 0.03%
iter 216: loss 2.5194, time 47.30ms, mfu 0.03%
iter 217: loss 2.3732, time 47.22ms, mfu 0.03%
iter 218: loss 2.4195, time 47.89ms, mfu 0.03%
iter 219: loss 2.5294, time 47.08ms, mfu 0.03%
iter 220: loss 2.3943, time 47.13ms, mfu 0.03%
iter 221: loss 2.3695, time 47.29ms, mfu 0.03%
iter 222: loss 2.3770, time 47.23ms, mfu 0.03%
iter 223: loss 2.4057, time 54.73ms, mfu 0.03%
iter 224: loss 2.4752, time 39.99ms, mfu 0.03%
iter 225: loss 2.4311, time 47.19ms, mfu 0.03%
iter 226: loss 2.4258, time 47.71ms, mfu 0.03%
iter 227: loss 2.4262, time 47.70ms, mfu 0.03%
iter 228: loss 2.3736, time 47.13ms, mfu 0.03%
iter 229: loss 2.4191, time 47.07ms, mfu 0.03%
iter 230: loss 2.4064, time 47.52ms, mfu 0.03%
iter 231: loss 2.3222, time 47.25ms, mfu 0.03%
iter 232: loss 2.4150, time 31.50ms, mfu 0.03%
iter 233: loss 2.5124, time 47.39ms, mfu 0.03%
iter 234: loss 2.4457, time 47.29ms, mfu 0.03%
iter 235: loss 2.5204, time 47.12ms, mfu 0.03%
iter 236: loss 2.3570, time 47.03ms, mfu 0.03%
iter 237: loss 2.3830, time 47.77ms, mfu 0.03%
iter 238: loss 2.3968, time 47.28ms, mfu 0.03%
iter 239: loss 2.4509, time 47.52ms, mfu 0.03%
iter 240: loss 2.4497, time 47.11ms, mfu 0.03%
iter 241: loss 2.3472, time 47.63ms, mfu 0.03%
iter 242: loss 2.4379, time 47.49ms, mfu 0.03%
iter 243: loss 2.4208, time 47.44ms, mfu 0.03%
iter 244: loss 2.4053, time 31.58ms, mfu 0.03%
iter 245: loss 2.4188, time 62.75ms, mfu 0.03%
iter 246: loss 2.4716, time 47.39ms, mfu 0.03%
iter 247: loss 2.4012, time 31.40ms, mfu 0.03%
iter 248: loss 2.4261, time 47.70ms, mfu 0.03%
iter 249: loss 2.4494, time 47.13ms, mfu 0.03%
step 250: train loss 2.4207, val loss 2.4346
saving checkpoint to out-shakespeare-char
iter 250: loss 2.5556, time 3076.98ms, mfu 0.03%
iter 251: loss 2.3688, time 47.05ms, mfu 0.03%
iter 252: loss 2.4529, time 63.17ms, mfu 0.03%
iter 253: loss 2.4620, time 47.21ms, mfu 0.03%
iter 254: loss 2.4048, time 47.07ms, mfu 0.03%
iter 255: loss 2.4136, time 47.20ms, mfu 0.03%
iter 256: loss 2.4415, time 47.25ms, mfu 0.03%
iter 257: loss 2.3975, time 62.77ms, mfu 0.03%
iter 258: loss 2.3697, time 47.01ms, mfu 0.03%
iter 259: loss 2.3087, time 47.40ms, mfu 0.03%
iter 260: loss 2.4123, time 62.72ms, mfu 0.03%
iter 261: loss 2.3620, time 62.97ms, mfu 0.02%
iter 262: loss 2.4026, time 47.25ms, mfu 0.02%
iter 263: loss 2.5023, time 62.65ms, mfu 0.02%
iter 264: loss 2.4899, time 47.20ms, mfu 0.02%
iter 265: loss 2.3633, time 62.67ms, mfu 0.02%
iter 266: loss 2.4637, time 47.10ms, mfu 0.02%
iter 267: loss 2.3999, time 63.09ms, mfu 0.02%
iter 268: loss 2.3254, time 46.96ms, mfu 0.02%
iter 269: loss 2.3626, time 47.16ms, mfu 0.02%
iter 270: loss 2.3374, time 66.19ms, mfu 0.02%
iter 271: loss 2.3861, time 42.99ms, mfu 0.02%
iter 272: loss 2.3892, time 56.93ms, mfu 0.02%
iter 273: loss 2.4932, time 53.08ms, mfu 0.02%
iter 274: loss 2.3751, time 47.09ms, mfu 0.02%
iter 275: loss 2.4006, time 47.22ms, mfu 0.02%
iter 276: loss 2.3724, time 62.90ms, mfu 0.02%
iter 277: loss 2.3205, time 47.16ms, mfu 0.02%
iter 278: loss 2.3692, time 62.88ms, mfu 0.02%
iter 279: loss 2.3930, time 47.14ms, mfu 0.02%
iter 280: loss 2.3931, time 62.80ms, mfu 0.02%
iter 281: loss 2.4138, time 47.45ms, mfu 0.02%
iter 282: loss 2.2869, time 63.04ms, mfu 0.02%
iter 283: loss 2.3328, time 47.23ms, mfu 0.02%
iter 284: loss 2.3285, time 47.75ms, mfu 0.02%
iter 285: loss 2.3415, time 47.62ms, mfu 0.02%
iter 286: loss 2.3491, time 62.96ms, mfu 0.02%
iter 287: loss 2.4044, time 47.16ms, mfu 0.02%
iter 288: loss 2.3925, time 47.14ms, mfu 0.02%
iter 289: loss 2.3693, time 47.03ms, mfu 0.02%
iter 290: loss 2.2599, time 63.01ms, mfu 0.02%
iter 291: loss 2.3224, time 47.23ms, mfu 0.02%
iter 292: loss 2.3979, time 46.99ms, mfu 0.02%
iter 293: loss 2.3881, time 46.94ms, mfu 0.03%
iter 294: loss 2.4216, time 46.99ms, mfu 0.03%
iter 295: loss 2.4173, time 47.37ms, mfu 0.03%
iter 296: loss 2.3871, time 47.32ms, mfu 0.03%
iter 297: loss 2.3912, time 47.31ms, mfu 0.03%
iter 298: loss 2.4481, time 47.50ms, mfu 0.03%
iter 299: loss 2.3636, time 62.68ms, mfu 0.03%
iter 300: loss 2.3822, time 47.38ms, mfu 0.03%
iter 301: loss 2.4776, time 47.29ms, mfu 0.03%
iter 302: loss 2.3447, time 47.06ms, mfu 0.03%
iter 303: loss 2.3940, time 47.63ms, mfu 0.03%
iter 304: loss 2.3260, time 47.20ms, mfu 0.03%
iter 305: loss 2.3687, time 47.20ms, mfu 0.03%
iter 306: loss 2.3850, time 47.07ms, mfu 0.03%
iter 307: loss 2.4038, time 47.26ms, mfu 0.03%
iter 308: loss 2.3844, time 47.29ms, mfu 0.03%
iter 309: loss 2.3229, time 47.31ms, mfu 0.03%
iter 310: loss 2.3568, time 66.84ms, mfu 0.03%
iter 311: loss 2.2575, time 43.73ms, mfu 0.03%
iter 312: loss 2.3032, time 70.35ms, mfu 0.03%
iter 313: loss 2.4018, time 55.74ms, mfu 0.02%
iter 314: loss 2.3068, time 47.50ms, mfu 0.03%
iter 315: loss 2.3442, time 47.15ms, mfu 0.03%
iter 316: loss 2.3624, time 63.03ms, mfu 0.02%
iter 317: loss 2.4580, time 63.48ms, mfu 0.02%
iter 318: loss 2.3707, time 47.34ms, mfu 0.02%
iter 319: loss 2.3367, time 62.98ms, mfu 0.02%
iter 320: loss 2.3349, time 47.04ms, mfu 0.02%
iter 321: loss 2.3748, time 47.42ms, mfu 0.02%
iter 322: loss 2.3380, time 47.55ms, mfu 0.02%
iter 323: loss 2.3804, time 62.86ms, mfu 0.02%
iter 324: loss 2.3561, time 47.08ms, mfu 0.02%
iter 325: loss 2.3301, time 47.18ms, mfu 0.02%
iter 326: loss 2.3972, time 79.33ms, mfu 0.02%
iter 327: loss 2.3941, time 191.49ms, mfu 0.02%
iter 328: loss 2.3270, time 430.71ms, mfu 0.02%
iter 329: loss 2.3220, time 238.60ms, mfu 0.02%
iter 330: loss 2.3398, time 348.94ms, mfu 0.02%
iter 331: loss 2.2720, time 398.04ms, mfu 0.02%
iter 332: loss 2.3553, time 365.24ms, mfu 0.01%
iter 333: loss 2.3308, time 335.23ms, mfu 0.01%
iter 334: loss 2.3249, time 430.93ms, mfu 0.01%
iter 335: loss 2.3714, time 380.86ms, mfu 0.01%
